id,dim,n_walks,l_walk,q
0,8,10,5,0.1
1,16,10,5,0.1
2,64,10,5,0.1
3,8,10,20,0.1
4,16,10,20,0.1
5,64,10,20,0.1
6,8,10,60,0.1
7,16,10,60,0.1
8,64,10,60,0.1
9,8,50,5,0.1
10,16,50,5,0.1
11,64,50,5,0.1
12,8,50,20,0.1
13,16,50,20,0.1
14,64,50,20,0.1
15,8,50,60,0.1
16,16,50,60,0.1
17,64,50,60,0.1
18,8,100,5,0.1
19,16,100,5,0.1
20,64,100,5,0.1
21,8,100,20,0.1
22,16,100,20,0.1
23,64,100,20,0.1
24,8,100,60,0.1
25,16,100,60,0.1
26,64,100,60,0.1
27,8,10,5,0.4
28,16,10,5,0.4
29,64,10,5,0.4
30,8,10,20,0.4
31,16,10,20,0.4
32,64,10,20,0.4
33,8,10,60,0.4
34,16,10,60,0.4
35,64,10,60,0.4
36,8,50,5,0.4
37,16,50,5,0.4
38,64,50,5,0.4
39,8,50,20,0.4
40,16,50,20,0.4
41,64,50,20,0.4
42,8,50,60,0.4
43,16,50,60,0.4
44,64,50,60,0.4
45,8,100,5,0.4
46,16,100,5,0.4
47,64,100,5,0.4
48,8,100,20,0.4
49,16,100,20,0.4
50,64,100,20,0.4
51,8,100,60,0.4
52,16,100,60,0.4
53,64,100,60,0.4
54,8,10,5,0.8
55,16,10,5,0.8
56,64,10,5,0.8
57,8,10,20,0.8
58,16,10,20,0.8
59,64,10,20,0.8
60,8,10,60,0.8
61,16,10,60,0.8
62,64,10,60,0.8
63,8,50,5,0.8
64,16,50,5,0.8
65,64,50,5,0.8
66,8,50,20,0.8
67,16,50,20,0.8
68,64,50,20,0.8
69,8,50,60,0.8
70,16,50,60,0.8
71,64,50,60,0.8
72,8,100,5,0.8
73,16,100,5,0.8
74,64,100,5,0.8
75,8,100,20,0.8
76,16,100,20,0.8
77,64,100,20,0.8
78,8,100,60,0.8
79,16,100,60,0.8
80,64,100,60,0.8
