preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
32136	0.32116788321167883	618.0227219737609	12468.0	0	0	1	19785	20738	293	294	0	1	1
16614	0.06147540983606557	107.84863430784748	2511.0	0	0	3	16415	21598	241	244	1	0	1
25857	0.049689440993788817	118.700181568714	2893.0	0	1	0	16970	26745	0	257	1	0	1
6100	0.03205128205128205	37.29338080038207	919.0	0	0	2	9382	51930	258	293	1	0	1
21168	0.07885304659498207	156.2765588549139	3305.0	0	0	1	16209	17022	0	263	1	1	1
11466	0.084070796460177	144.38716512359932	4649.0	0	0	0.057824427480909435	0	10843	269	271	1	0	1
5751	0.05555555555555555	54.70308079257768	1181.0	0	0	1	21021	50089	264	277	1	1	1
3933	0.058823529411764705	46.576257837505366	866.0	0	1	0	16924	17311	265	278	1	1	1
1488	0.27419354838709675	114.99327038295051	2111.0	0	0	1	25459	53909	241	308	1	0	1
4365	0.07575757575757576	66.8266338382151	1152.0	0	1	0	15912	50802	247	265	1	1	1
4719	0.023255813953488372	26.44005376222333	409.0	0	1	0	9129	16008	239	294	1	1	1
20184	0.050724637681159424	102.42009725484938	2515.0	0	1	0	19571	50099	272	280	1	1	1
32058	0.005420054200542005	14.828582793568398	342.0	0	0	1.0578244274809094	17739	50077	0	244	0	1	1
5544	0.017543859649122806	21.039942476156206	459.0	0	1	0	4281	9078	241	294	1	0	1
13098	0.08530805687203792	130.99263845990396	3081.0	0	1	0	8128	21669	246	265	1	1	1
63812	0.1032258064516129	345.04919677448083	8762.0	0	0	1	0	51973	278	278	1	1	1
10602	0.18285714285714286	225.74492293699458	4719.0	0	0	2	16219	25230	247	267	1	1	1
24840	0.12758620689655173	264.7912872060281	5561.0	0	0	0.057824427480909435	7831	51444	246	265	1	1	1
5184	0.36792452830188677	264.6270433802002	5054.0	0	1	0	0	21596	244	246	1	1	1
12467	0.11219512195121951	156.4986788414227	2987.0	0	0	1.9421755725190906	16117	16247	244	244	0	1	1
14916	0.049315068493150684	129.40985773762804	2961.0	1	0	1.0578244274809094	16783	20960	246	277	1	1	1
14553	0.020833333333333332	39.50975766401003	625.0	0	0	0.057824427480909435	5843	56212	253	265	1	0	1
2964	0.009259259259259259	7.78135971352466	220.0	0	1	0	3290	16924	265	269	1	1	1
20	0.09090909090909091	5.491853096329675	45.0	0	0	1.9421755725190906	26521	53471	265	269	0	0	1
7314	0.08024691358024691	92.16306888336234	1964.0	1	1	0	9073	55261	246	248	1	0	1
5880	0.01675977653631285	19.550746785383243	332.0	0	1	0	16259	16443	265	293	1	0	1
26264	0.06451612903225806	148.61074242688093	3589.0	0	1	0	9159	16727	244	294	1	1	1
10137	0.14124293785310735	176.44633104920615	4279.0	0	0	1	15984	51285	265	269	0	1	1
7254	0.425	362.96950763033783	7836.0	0	0	2	0	7709	267	312	0	0	1
7400	0.17159763313609466	189.51369820235755	3174.0	1	0	1	50063	54006	278	293	1	1	1
20930	0.08080808080808081	156.09794092931207	2567.0	0	0	2	20965	25737	246	253	1	0	1
13590	0.06637168141592921	107.94612181195633	2269.0	1	1	0	3546	26030	247	278	1	0	1
112	0.0	0.0	0.0	0	0	1.9421755725190906	16431	16790	0	272	0	0	1
15696	0.10964912280701754	167.81829095511156	3755.0	1	1	0	17060	50365	244	293	1	0	1
22046	0.2692307692307692	449.607755059625	9363.0	1	0	1	50202	50218	244	265	1	1	1
4094	0.16379310344827586	122.17066541783369	1783.0	0	0	3	3967	21742	265	265	0	0	1
5922	0.014619883040935672	31.353384009521182	427.0	1	0	1	17444	17949	265	294	1	0	1
