preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
4760	0.125	113.75716749161549	1346.0	0	1	0	1320	16156	199	201	1	0	1
6966	0.2846153846153846	237.62451487402282	3500.0	1	0	2	1277	50498	0	0	1	0	1
3008	0.037383177570093455	28.025182828635508	551.0	0	0	1.5296108291031487	3749	7775	199	204	0	1	1
6270	0.3305785123966942	246.95710661386644	3267.0	1	1	0	2973	3029	205	228	1	1	1
2976	0.0784313725490196	49.158048888833044	748.0	0	1	0	0	0	202	208	1	1	1
3708	0.1487603305785124	110.50841869832162	1504.0	1	0	2	0	1326	202	211	0	1	1
648	0.02702702702702703	18.94063477212102	245.0	0	1	0	2072	52088	194	202	0	0	1
10488	0.2159090909090909	245.61275778235577	3577.0	0	0	3	1912	2749	202	208	0	1	1
912	0.12727272727272726	40.15043138506389	384.0	0	1	0	1277	17895	199	209	1	0	1
9409	0.12790697674418605	144.1241304707656	2286.0	0	1	0	2790	4416	190	204	1	1	1
7128	0.12987012987012986	127.05382530746937	1889.0	0	0	1	2072	50964	194	212	1	0	1
4815	0.23577235772357724	173.7199497609386	2149.0	1	1	0	0	3735	198	228	1	1	1
567	0.014084507042253521	7.417852514885898	171.0	0	0	2	0	1320	223	228	1	1	1
1904	0.42857142857142855	161.22906159181545	2157.0	0	1	0	6088	50343	199	204	1	1	1
7488	0.1657142857142857	181.48606479986807	2484.0	1	0	1	5997	50028	201	222	1	0	1
3239	0.1111111111111111	79.88402678339166	1270.0	0	0	3	2072	50775	199	223	0	1	1
1326	0.30357142857142855	107.79862388852692	1536.0	1	0	0.4703891708968513	0	2460	208	228	1	1	1
6448	0.1891891891891892	179.18120638930205	2598.0	1	0	1	0	2749	222	223	1	1	1
1232	0.07368421052631578	43.15732192922448	677.0	0	1	0	0	2702	208	212	1	0	1
5700	0.11029411764705882	103.76544656858911	1916.0	0	0	2	1912	17247	202	202	0	0	1
2652	0.13186813186813187	79.4326980207491	1302.0	0	1	0	4151	51697	208	228	1	1	1
4214	0.2980769230769231	190.09897509180936	2471.0	1	1	0	3246	22564	202	228	1	0	1
1700	0.10714285714285714	52.597149915644344	735.0	0	1	0	2725	10573	196	228	1	0	1
1972	0.0898876404494382	54.679718705474194	1011.0	0	1	0	2597	50034	209	228	1	1	1
11446	0.12946428571428573	176.49872361415203	2377.0	0	1	0	2152	2395	196	199	1	0	1
513	0.0	0.0	0.0	0	1	0	4423	50154	208	222	1	1	1
1210	0.203125	81.2890772061931	1169.0	0	0	3	0	2868	208	226	0	1	1
5760	0.12195121951219512	119.89853261976955	1482.0	1	0	1	5477	50747	202	205	0	1	1
8520	0.15060240963855423	164.48156634503582	2686.0	0	0	0.4703891708968513	0	52730	0	207	1	0	1
1020	0.07777777777777778	41.371864359313214	498.0	1	0	3	3125	17528	202	209	1	0	1
4032	0.11304347826086956	84.75461096213826	1343.0	0	0	1.4703891708968513	3448	50666	205	228	0	0	1
4930	0.1171875	104.1105455464663	1967.0	0	1	0	17528	26149	199	202	1	1	1
2002	0.11956521739130435	72.84951800330998	1176.0	0	1	0	1268	20327	208	222	1	1	1
3481	0.22916666666666666	139.2224548014992	1921.0	1	0	1	3604	26459	202	222	1	0	1
2409	0.20454545454545456	114.94464198399874	1666.0	0	1	0	17636	21778	212	228	1	1	1
4503	0.20353982300884957	143.6157297873848	1869.0	0	1	0	2788	14474	201	208	1	1	1
9792	0.09278350515463918	112.9837531805602	1690.0	0	0	1	5477	50034	205	209	0	1	1
780	0.3111111111111111	81.68708694537628	1009.0	1	1	0	0	0	207	223	1	0	1
4590	0.08088235294117647	71.44457965095299	1178.0	0	0	2	21221	24548	190	228	0	1	1
2501	0.25925925925925924	130.62540163639403	1798.0	1	1	0	3390	15903	205	228	1	1	1
1078	0.33962264150943394	114.57073479164319	1739.0	1	1	0	0	24099	223	226	1	1	1
6840	0.04975124378109453	62.974495291620514	983.0	0	0	1	3899	4423	204	222	1	1	1
1892	0.0223463687150838	24.706128152662217	390.0	0	0	1	0	2041	209	228	1	1	1
3784	0.32653061224489793	196.84302669228518	2673.0	1	1	0	2026	50093	201	223	1	1	1
1672	0.10810810810810811	49.99908691375805	694.0	0	1	0	6500	50093	190	223	1	1	1
1584	0.175	74.82156142888616	716.0	0	0	1	250	1506	199	223	1	0	1
12324	0.1989795918367347	249.8838445769043	3579.0	1	0	1	7895	15855	0	201	1	0	1
3910	0.056451612903225805	47.40776169696513	866.0	0	0	2	1272	17528	202	222	0	0	1
8635	0.0707070707070707	88.49874945429234	1290.0	0	0	1	4639	20823	208	223	1	0	1
720	0.05172413793103448	20.490443526075005	425.0	0	1	0	24942	50112	205	223	0	0	1
2044	0.21686746987951808	119.05291456282191	1879.0	1	0	1	15471	21778	212	223	1	1	1
10120	0.03017241379310345	48.66253714731731	896.0	0	0	1	2868	2868	208	220	0	1	1
8976	0.27388535031847133	268.065529855787	3579.0	0	0	1	21566	23321	201	202	1	1	1
1836	0.13095238095238096	71.5334247010853	1112.0	0	1	0	25659	50486	199	204	1	1	1
1848	0.15217391304347827	88.99858002615483	1353.0	1	0	1	1267	5347	202	208	1	1	1
5415	0.1875	146.58219401968066	1947.0	0	1	0	2973	14474	208	228	1	0	1
11058	0.09606986899563319	136.82760762075014	1805.0	0	1	0	2395	3300	196	196	1	1	1
4851	0.2542372881355932	187.97506581151043	2490.0	1	0	2	3310	9414	199	223	1	0	1
4968	0.14925373134328357	125.18193495581387	1695.0	0	1	0	0	4007	199	205	1	1	1
2500	0.3157894736842105	148.35392387463435	1924.0	1	0	2	2398	50568	194	223	0	1	1
1840	0.07692307692307693	51.72903070581643	803.0	0	1	0	4099	9262	192	205	1	0	1
2040	0.15294117647058825	87.340197869332	1547.0	0	1	0	25659	50112	199	228	1	1	1
1288	0.05333333333333334	27.346807693687293	512.0	0	1	0	2467	23618	199	199	1	0	1
660	0.07042253521126761	31.286771126590914	424.0	1	0	1.5296108291031487	3029	24118	205	206	1	1	1
8910	0.5	401.9802797939193	5694.0	1	1	0	3310	24915	199	228	1	1	1
5896	0.14814814814814814	121.45293554450365	1708.0	0	1	0	5203	9321	192	202	1	0	1
19872	0.3153153153153153	405.96117530131914	4637.0	1	0	2	2072	2868	194	220	1	0	1
3780	0.16417910447761194	136.40032970434982	1857.0	0	0	3	1942	11067	199	212	0	0	1
11524	0.2849462365591398	325.2941089488166	4275.0	1	0	3	1734	2041	190	228	0	0	1
7350	0.13068181818181818	142.73859862387752	1922.0	0	1	0	1272	25399	205	208	1	1	1
585	0.11538461538461539	38.688759463033826	552.0	0	0	1	3218	50578	208	228	1	1	1
2904	0.14173228346456693	101.60117327227674	1310.0	0	0	1	0	25640	222	222	1	0	1
9804	0.27932960893854747	313.52054462022886	4206.0	1	1	0	2041	3300	196	228	1	0	1
18997	0.20869565217391303	296.5120378314577	3954.0	1	0	1	20823	25640	208	222	1	1	1
1950	0.041237113402061855	27.136396656685307	512.0	0	0	3	18123	50416	200	205	0	1	1
5928	0.1925925925925926	155.3068839434279	1965.0	0	1	0	9331	55106	0	199	1	1	1
630	0.039473684210526314	21.55740386728469	437.0	1	0	1	17636	52700	208	222	1	1	1
2976	0.12612612612612611	85.54066538326599	1151.0	1	1	0	1454	9787	208	208	1	1	1
4140	0.05	51.363944856020986	734.0	0	0	2	1380	2749	200	208	1	0	1
6077	0.08	81.88690386854172	1479.0	0	1	0	1702	2152	190	199	1	1	1
5408	0.14705882352941177	127.3578561869003	1872.0	0	0	1	2749	9331	199	223	0	1	1
15200	0.16972477064220184	232.0424519743951	3456.0	0	0	1	18123	20562	207	208	0	1	1
5280	0.09554140127388536	96.73773610680422	1475.0	0	0	2	0	10687	194	223	1	0	1
2640	0.10784313725490197	69.55008638587367	1012.0	0	1	0	6170	23620	209	223	1	1	1
3927	0.10344827586206896	76.88801595581299	1164.0	0	1	0	0	1268	0	208	1	1	1
4158	0.19090909090909092	134.1929801355291	1943.0	0	1	0	2535	3172	199	209	1	0	1
2537	0.5	205.47893683405997	2531.0	1	1	0	2152	3208	199	201	1	1	1
8528	0.4418604651162791	334.9966306812164	4019.0	1	0	1	20730	50112	205	208	0	0	1
7502	0.045714285714285714	54.415692787615605	957.0	0	1	0	17115	25640	204	222	1	0	1
5100	0.0410958904109589	38.2034166178855	532.0	0	1	0	21221	50568	190	194	1	1	1
9234	0.25	246.2996940436828	3448.0	1	1	0	1277	1451	0	199	1	0	1
1540	0.18292682926829268	80.5031659387005	822.0	1	0	1	0	51630	208	223	0	0	1
2607	0.23076923076923078	133.65743980788432	1873.0	1	0	2	1764	4262	190	204	1	1	1
7008	0.4322033898305085	308.1591181063225	3745.0	1	0	1	3945	21778	208	212	1	1	1
11475	0.08571428571428572	117.11936424118016	1741.0	0	1	0	24944	25370	205	208	1	0	1
2376	0.21052631578947367	120.79354727351375	1659.0	1	1	0	2702	50096	212	228	1	0	1
390	0.16216216216216217	39.85086434649993	654.0	0	1	0	9130	50112	208	228	1	1	1
1	0.0	0.0	0.0	0	0	3	25804	57026	194	212	1	0	1
2480	0.275	141.38387129195405	2137.0	1	0	0.4703891708968513	0	1320	202	202	1	0	1
1755	0.10526315789473684	54.25019725430944	916.0	0	1	0	3041	24568	194	208	1	1	1
11011	0.1702127659574468	196.18057283482167	2651.0	1	0	1	2535	23965	209	223	1	1	1
4900	0.38317757009345793	255.47012545902254	3416.0	1	1	0	636	22311	199	228	1	0	1
247	0.5238095238095238	56.19731733412668	488.0	0	1	0	50500	55170	190	199	1	1	1
4189	0.2037037037037037	138.08303041910656	1873.0	0	0	1.5296108291031487	0	2152	0	199	1	0	1
1200	0.05555555555555555	33.23032656155611	544.0	0	1	0	0	0	222	222	1	1	1
3485	0.2	136.5245019007994	2022.0	1	1	0	1496	24140	208	223	1	1	1
3564	0.07432432432432433	72.53303793222649	1197.0	0	1	0	15996	21566	202	228	1	0	1
2574	0.05	30.617747234562003	394.0	0	0	1	24206	26673	208	208	0	1	1
3400	0.19642857142857142	137.29566882930092	1792.0	1	0	0.4703891708968513	5641	8828	0	199	1	0	1
2754	0.23655913978494625	137.10576761476813	1877.0	1	1	0	2460	10608	208	208	1	1	1
10300	0.18023255813953487	200.19442139507615	3128.0	0	0	2	0	8828	199	211	0	1	1
6014	0.11971830985915492	105.7738699021594	1506.0	0	1	0	0	4416	190	202	1	1	1
1078	0.14516129032258066	46.56895857219746	504.0	1	0	1	11601	23645	205	222	1	1	1
2736	0.13114754098360656	101.29871210819917	1427.0	1	0	1	1451	2960	199	205	1	0	1
14632	0.10431654676258993	185.09071714691663	2630.0	0	1	0	19445	23330	208	223	1	1	1
9727	0.24550898203592814	260.7577531209554	3747.0	0	0	0.4703891708968513	0	21841	0	199	1	0	1
1156	0.3076923076923077	101.39433223758381	1519.0	1	1	0	5208	9650	199	222	1	0	1
3740	0.25217391304347825	174.46015736963545	2082.0	1	0	1.5296108291031487	5641	25096	0	208	1	0	1
3300	0.1553398058252427	98.82228366695318	1248.0	1	0	1	11172	17247	202	202	1	1	1
3952	0.31958762886597936	200.55581252045806	3011.0	0	0	1	1912	2749	202	223	0	0	1
