preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
6027	0.0273224043715847	36.55805644794783	955.0	0	0	1	2355	20941	249	273	0	1	1
27161	0.057692307692307696	132.68908210528264	3085.0	0	0	2	3754	19930	236	277	0	1	1
43470	0.23850574712643677	617.1641062384303	15515.0	0	0	1	9076	16067	236	236	1	1	1
10706	0.07253886010362694	97.28083324500568	2063.0	0	0	2	3289	5997	249	274	0	1	1
24480	0.17391304347826086	345.2888528860431	7509.0	0	1	0	5928	23994	236	283	1	1	1
1210	0.07079646017699115	57.87358566006866	1271.0	0	1	0	16414	17371	247	247	1	1	1
627	0.20930232558139536	53.62712688415521	703.0	0	1	0	4334	52757	0	242	1	1	1
21840	0.031630170316301706	96.14789668240041	2348.0	0	1	0	5221	17568	236	262	1	0	1
21896	0.21721311475409835	388.1230575296003	9019.0	0	1	0	16506	17690	0	241	1	0	1
16048	0.2512315270935961	360.66680775582364	7460.0	0	1	0	16506	17908	0	255	1	1	1
10540	0.06698564593301436	99.42441265605227	2120.0	0	1	0	52007	52665	0	243	1	0	1
28056	0.21818181818181817	432.1994002201988	9774.0	0	1	0	51841	52957	251	259	1	0	1
15810	0.23557692307692307	333.980189143332	6073.0	0	1	0	16694	21781	0	0	1	1	1
40320	0.13966480446927373	370.5021565028552	8979.0	0	0	1	3243	3840	241	249	1	1	1
56750	0.11971830985915492	365.16903474318576	7993.0	0	0	1	6535	9319	247	274	0	1	1
4982	0.15037593984962405	139.54026606748715	2701.0	0	0	3	4890	5252	259	272	0	1	1
22600	0.16428571428571428	331.8538703129897	7402.0	0	0	2	16694	50089	236	247	0	0	1
37791	0.3201320132013201	694.6800583193011	14844.0	0	1	0	17717	50494	259	278	1	1	1
26765	0.057803468208092484	143.79589830761782	3141.0	0	0	1	3246	16482	236	266	1	1	1
1920	0.06818181818181818	41.4646323907022	805.0	0	0	2.7512625181889234	9224	15244	0	255	1	0	1
10212	0.09844559585492228	134.01041928125065	2703.0	0	1	0	9594	17153	247	277	1	0	1
25410	0.09621993127147767	192.01542107372182	3712.0	0	0	2	3735	15996	0	278	1	0	1
3605	0.06976744186046512	65.0268927837625	1484.0	0	1	0	24456	50502	278	283	1	1	1
1836	0.047619047619047616	25.591866593586058	391.0	1	0	1	0	3739	0	273	1	0	1
1482	0.016	14.691089186236532	457.0	0	0	1	0	52601	0	239	1	1	1
8806	0.10285714285714286	123.99848061801924	2823.0	0	1	0	16387	50595	0	242	1	0	1
3354	0.06140350877192982	43.494500929079216	949.0	0	0	3	0	0	0	248	0	0	1
2624	0.08571428571428572	61.36844876602479	1077.0	0	1	0	25180	50354	0	272	1	0	1
11920	0.11165048543689321	159.36948775134408	3199.0	0	0	2.7512625181889234	17115	17908	274	278	0	0	1
42048	0.03288201160541586	126.7467693067759	3269.0	0	1	0	1943	50876	249	267	1	1	1
38920	0.06887755102040816	204.11720655935787	5546.0	0	0	1	50094	50104	240	254	1	0	1
