preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
3783	0.05426356589147287	50.32778342662602	1187.0	0	0	2	3791	9324	240	260	0	1	1
19780	0.11673151750972763	225.05624112432974	5853.0	0	0	2	24659	50064	236	274	0	1	1
33496	0.10182767624020887	266.0483794994783	5030.0	0	0	0.9117712754075455	11285	50865	236	273	1	0	1
27555	0.04075235109717868	90.11053187522762	1737.0	0	0	1	50037	50419	243	275	1	0	1
6534	0.11486486486486487	102.58796369579264	1642.0	0	0	1	16261	50302	0	0	1	0	1
40809	0.30128205128205127	689.4224818019693	16351.0	0	1	0	0	16184	240	252	1	0	1
20572	0.15261044176706828	275.29291674813373	6245.0	0	0	1	0	3656	0	252	1	1	1
18330	0.18340611353711792	301.41161349823534	6729.0	0	1	0	9249	26395	0	263	1	1	1
12948	0.07885304659498207	144.386723555487	2431.0	0	0	1.9117712754075455	21417	50122	0	288	0	0	1
6608	0.06875	72.67167019731916	1317.0	0	0	1	9753	51465	249	283	0	0	1
23580	0.11071428571428571	233.59542861193637	5969.0	0	0	1	9084	50132	235	260	1	1	1
5810	0.0748663101604278	94.70376242061995	1779.0	0	1	0	17707	52734	252	287	1	1	1
6728	0.06097560975609756	74.32123582317999	1907.0	1	1	0	10147	17613	236	249	1	0	1
10080	0.09743589743589744	137.96980357679175	3113.0	0	1	0	0	9802	0	263	1	1	1
16974	0.16	234.40375568496617	4448.0	0	1	0	19860	53392	236	279	1	1	1
13332	0.09836065573770492	173.6922641558109	3890.0	0	0	0.08822872459245445	50732	50875	0	240	1	0	1
21582	0.09776536312849161	249.53257595739376	5530.0	1	0	1	15817	50118	0	241	1	0	1
11918	0.027559055118110236	49.64806207788886	1026.0	0	0	2	13260	50007	247	249	0	0	1
11280	0.281437125748503	331.3138240201636	7137.0	0	1	0	9070	50365	241	284	1	0	1
9100	0.12994350282485875	157.71134711334915	3026.0	0	1	0	5852	17062	0	273	1	0	1
13837	0.1782178217821782	262.01428476371746	5968.0	0	0	67	9768	16045	0	249	0	1	1
1170	0.09523809523809523	39.104135340076056	600.0	0	0	2.9117712754075455	3123	22152	0	249	1	1	1
20475	0.19183673469387755	343.8149209386961	8061.0	0	1	0	17994	20340	0	0	1	1	1
31944	0.2635135135135135	558.1229014822038	12227.0	0	1	0	50419	50900	236	252	1	0	1
14388	0.10077519379844961	180.68749882470001	3756.0	0	0	0.08822872459245445	50732	50909	0	278	1	0	1
18240	0.14166666666666666	250.15340845281384	5987.0	0	0	2	0	9414	0	252	1	0	1
13320	0.044444444444444446	82.48343808074624	1559.0	0	0	1	20747	50152	252	275	1	1	1
16632	0.14410480349344978	231.89953681306523	4823.0	0	0	2	21334	21441	252	279	1	1	1
25220	0.2	388.0505271948244	8695.0	0	0	1	21220	50066	0	236	1	0	1
22011	0.08974358974358974	205.4871969940783	4967.0	0	0	1	21613	23168	240	263	1	1	1
32336	0.18032786885245902	384.2385962246828	8174.0	0	0	1	50064	50308	274	275	1	1	1
41730	0.23564954682779457	561.5769291468165	12387.0	1	0	0.9117712754075455	17238	19295	0	252	1	0	1
14300	0.15165876777251186	242.52375416317963	6395.0	0	1	0	9108	16261	249	288	1	1	1
18460	0.35323383084577115	495.74130366026515	10087.0	0	1	0	0	3674	0	240	1	0	1
48960	0.08520179372197309	270.3223846232178	5940.0	0	0	2	9802	50065	263	273	1	0	1
30600	0.12380952380952381	283.79836951606404	6682.0	0	1	0	0	565	0	240	1	0	1
836	0.17647058823529413	64.67015864616184	1598.0	0	0	1.0882287245924545	0	52401	0	241	1	0	1
6844	0.15894039735099338	158.2333423457765	2637.0	0	0	1	9753	16049	249	257	1	0	1
22765	0.09818181818181818	192.57495740891642	4138.0	0	1	0	25253	50675	241	282	1	0	1
20045	0.13333333333333333	256.8939578018622	5419.0	0	1	0	17537	17613	0	279	1	0	1
35478	0.2118380062305296	475.6629769402211	9818.0	1	1	0	18230	21232	249	252	1	1	1
9672	0.11602209944751381	143.5082083473821	2700.0	0	1	0	50852	53977	0	240	1	1	1
14580	0.17391304347826086	249.48020587340258	4689.0	0	0	1	0	16526	0	279	1	1	1
7480	0.09134615384615384	129.15820366312497	2302.0	0	1	0	4702	21841	0	282	1	1	1
10728	0.11055276381909548	161.17187276525829	3878.0	0	0	3	16259	50029	284	287	0	0	1
27577	0.16774193548387098	379.934457159894	9028.0	0	1	0	9771	25049	0	284	1	0	1
3720	0.1509433962264151	103.92830873441721	1668.0	0	0	2	9318	17361	252	273	0	1	1
19691	0.0948905109489051	181.3022834344332	3591.0	0	0	1	9333	16423	240	252	0	1	1
16124	0.0759493670886076	129.9812602427057	3124.0	0	0	2	2862	21408	265	283	1	0	1
297	0.05555555555555555	15.13410540040181	414.0	1	1	0	17566	50466	0	240	1	1	1
9805	0.04861111111111111	83.20206132851841	1026.0	1	0	1	17189	50192	0	277	1	0	1
19397	0.14634146341463414	259.0724899160951	5742.0	1	1	0	18696	20684	0	273	1	0	1
10790	0.054455445544554455	73.39026606437655	1214.0	0	0	1	9565	26395	263	282	1	1	1
2214	0.11904761904761904	93.19911136016952	1270.0	0	0	1.9117712754075455	4296	50002	240	240	1	1	1
42328	0.16353887399463807	447.0264967096357	10590.0	0	1	0	0	16261	252	283	1	1	1
7040	0.017543859649122806	22.401949247879752	531.0	0	0	4	17163	24657	0	263	0	0	1
19488	0.0711864406779661	142.5111993337839	2702.0	0	0	1	17537	50002	236	279	0	0	1
19140	0.13524590163934427	230.75095920091277	4760.0	0	0	1	6674	50419	0	252	1	0	1
25024	0.13395638629283488	296.44671139788744	5869.0	0	1	0	16367	17454	259	272	1	0	1
7155	0.13333333333333333	164.24977486080914	3120.0	0	1	0	9765	50257	0	0	1	1	1
38940	0.1327683615819209	321.9716700048363	6931.0	0	1	0	50383	52056	279	284	1	1	1
14355	0.17307692307692307	247.90766302164016	4819.0	0	1	0	3858	16327	279	279	1	1	1
6903	0.09316770186335403	108.61724809498472	2522.0	1	1	0	17060	50813	241	274	1	0	1
4290	0.14615384615384616	119.35762541939349	1964.0	0	0	1.9117712754075455	628	17163	252	263	1	0	1
13020	0.14215686274509803	211.9495524577932	4918.0	0	1	0	2048	50152	0	241	1	1	1
