preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
10608	0.13705583756345177	192.9185641113456	4305.0	0	0	3	25311	50018	138	142	0	0	1
18696	0.19827586206896552	325.73736927752503	6988.0	0	0	1	14793	51285	155	164	0	0	1
23052	0.061488673139158574	137.42829084919762	3304.0	0	0	2	4371	24567	140	165	1	1	1
35217	0.06361323155216285	178.69050932263903	3930.0	0	1	0	851	21980	140	195	1	0	1
17864	0.011235955056179775	21.865370811979695	586.0	0	0	3	9021	9021	0	155	0	0	1
71422	0.007399577167019027	46.70284092622609	886.0	0	0	2.1767003168520205	0	5570	179	195	0	1	1
27674	0.0660377358490566	157.87909327241266	4477.0	0	1	0	50315	52899	158	166	1	0	1
9024	0.06217616580310881	89.60886447955147	2425.0	0	1	0	5928	16208	0	155	1	1	1
18000	0.0661764705882353	135.31470825774142	3590.0	0	1	0	9211	17055	144	168	1	0	1
5313	0.07777777777777778	100.82242545463473	2274.0	0	0	1	8226	14632	0	166	0	1	1
16280	0.1889400921658986	288.60560568548755	6284.0	0	0	1	3864	16390	147	155	1	1	1
2436	0.036036036036036036	26.215299401490995	409.0	0	1	0	20853	21653	155	171	1	0	1
12243	0.055762081784386616	107.83942584175425	2983.0	0	1	0	2093	8820	131	171	1	0	1
27888	0.0463768115942029	125.97211786766816	3987.0	0	0	0.8232996831479795	0	17264	132	194	0	0	1
48384	0.12658227848101267	381.78931614302326	10822.0	0	1	0	4004	52899	120	165	1	1	1
806	0.1875	55.997418521503405	768.0	0	1	0	21725	50023	120	124	1	1	1
28899	0.14106583072100312	329.18919369061103	8434.0	0	0	0.8232996831479795	9224	17773	164	214	1	1	1
5952	0.09554140127388536	101.27793858134255	1766.0	0	1	0	2800	55023	135	166	1	1	1
4350	0.05851063829787234	64.39121305138107	1135.0	1	1	0	4262	50143	135	165	1	1	1
3952	0.09876543209876543	100.5749876961331	1344.0	0	0	1	50325	50473	131	155	1	0	1
6600	0.055900621118012424	58.24165218463529	1084.0	0	1	0	16215	50527	136	195	1	0	1
29205	0.1554054054054054	324.8478260127317	7369.0	0	1	0	2823	19198	150	160	1	1	1
12296	0.07142857142857142	129.50189746570084	3348.0	0	1	0	2191	25369	0	166	1	0	1
35465	0.09883720930232558	245.55191074075594	6357.0	0	0	1	9382	16510	145	148	0	0	1
26270	0.19343065693430658	384.1282217632438	9315.0	0	1	0	1734	25359	130	136	1	0	1
16500	0.1111111111111111	165.9135371754839	2448.0	0	0	3	0	9120	155	217	0	0	1
14625	0.05217391304347826	87.18864905503953	2273.0	0	0	1	21323	50025	155	165	1	1	1
4446	0.08839779005524862	111.7732668459874	2518.0	0	0	3	2345	20747	0	143	0	1	1
5952	0.17164179104477612	152.81991824556033	2757.0	1	0	2	9130	50115	135	195	0	1	1
18942	0.10358565737051793	206.0405801610258	6955.0	0	1	0	17247	52899	144	151	1	0	1
119925	0.3193916349809886	1200.8355849070892	27860.0	0	1	0	50460	51156	131	164	1	0	1
16896	0.05228758169934641	105.98623887062499	1900.0	0	0	1	17522	21219	123	147	1	1	1
23241	0.12318840579710146	236.7585697174424	4511.0	0	0	1	21094	24601	164	167	1	1	1
11340	0.013100436681222707	23.40729992540183	715.0	0	0	1	4262	50389	135	160	1	0	1
53200	0.11217183770883055	356.7795673597626	9753.0	0	1	0	16327	50582	165	165	1	1	1
17100	0.07692307692307693	146.9314379402207	3457.0	0	1	0	0	9211	144	144	1	0	1
364	0.025	5.857980995127572	58.0	0	0	1	9283	9324	118	144	1	0	1
6972	0.037267080745341616	50.28169442716669	2526.0	0	0	2	17137	50045	155	155	1	0	1
10062	0.0855614973262032	114.55057236269614	2408.0	0	0	3	16256	16353	144	195	0	0	1
46	0.0	0.0	0.0	0	1	0	10923	50365	0	135	1	0	1
6320	0.058823529411764705	76.39389075730388	1540.0	0	1	0	3338	3755	0	165	1	0	1
5952	0.2740740740740741	254.83136541467033	5145.0	0	1	0	9254	50509	155	195	0	0	1
59895	0.1069182389937107	383.24499256057305	10076.0	0	0	1	4251	21781	158	166	0	0	1
6371	0.023890784982935155	50.24928924404467	1156.0	0	0	1.8232996831479795	2443	16219	141	155	0	0	1
1539	0.024390243902439025	16.463300850616353	925.0	0	0	0.8232996831479795	19623	50089	0	144	0	0	1
28914	0.1180327868852459	264.3503381605274	6819.0	0	0	1	16492	24601	135	167	1	1	1
760	0.28888888888888886	79.30949423066713	1205.0	0	1	0	16424	19478	128	155	1	1	1
13575	0.07563025210084033	121.83502233056097	2817.0	0	1	0	50073	50493	127	165	1	1	1
16046	0.14349775784753363	228.81320830974497	5527.0	0	0	1	18108	50020	155	166	1	0	1
18576	0.24444444444444444	380.65844503879464	7640.0	0	0	1	1320	53092	195	195	0	0	1
10609	0.05641025641025641	82.28150936423947	2002.0	0	1	0	12337	17041	155	204	1	0	1
42042	0.25914634146341464	639.4531507414988	17072.0	0	0	1	1476	9130	120	131	1	1	1
13115	0.026022304832713755	46.326756428550986	765.0	0	1	0	1429	16088	130	187	1	1	1
1628	0.10344827586206896	59.96721509868243	1027.0	0	1	0	16274	18238	195	195	1	1	1
5083	0.016666666666666666	33.92180445501504	1668.0	0	0	1	23485	50055	195	195	1	0	1
13509	0.09649122807017543	156.57593016979936	3255.0	0	1	0	1320	9045	135	155	1	1	1
20829	0.06227106227106227	118.51614981779367	2905.0	0	1	0	2702	53402	120	195	1	1	1
21411	0.22448979591836735	351.99920835625534	5333.0	0	0	2	9802	10788	159	204	1	0	1
2128	0.009708737864077669	7.499845887083206	181.0	0	1	0	18065	50010	140	164	1	0	1
6962	0.07272727272727272	83.92228993955486	1646.0	0	1	0	2561	17636	195	195	1	0	1
26400	0.046153846153846156	118.29634829991623	3794.0	0	1	0	0	3570	150	165	1	1	1
1566	0.011904761904761904	7.6293566200796095	198.0	0	1	0	16267	53663	135	171	1	1	1
20812	0.17670682730923695	324.91656513338614	8016.0	0	0	1	16159	50025	155	164	1	0	1
8778	0.004	5.554588851677638	47.0	0	0	1	0	51285	135	171	1	1	1
34317	0.05511811023622047	155.86269071514775	4995.0	0	0	0.8232996831479795	6392	9415	0	132	1	0	1
5251	0.184	163.24766502619033	3591.0	0	1	0	0	22251	136	145	1	1	1
13464	0.03982300884955752	63.928647759935885	1694.0	0	0	1	20731	53663	131	135	1	1	1
