preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
47770	0.1868421052631579	548.445967609469	16580.0	0	1	0	15244	17636	6	6	1	1	1
3995	0.008	15.831455702310514	609.0	0	1	0	17456	21993	6	10	1	0	1
31236	0.05491329479768786	140.1349884515939	3684.0	0	1	0	12169	19135	6	6	1	1	1
3835	0.05982905982905983	46.51403228674177	764.0	1	1	0	4655	4729	0	1	1	1	1
20812	0.1626984126984127	315.2375374256736	9838.0	0	1	0	9673	17053	6	27	1	0	1
81719	0.11844660194174757	458.5641961710684	13130.0	0	0	2	0	21258	1	2	1	0	1
5376	0.22580645161290322	189.46884504468832	3391.0	1	0	2	25072	26643	6	9	1	0	1
36208	0.1366120218579235	331.1382614505099	6788.0	1	0	1	26510	52375	0	2	1	1	1
5876	0.024844720496894408	27.609978763665637	522.0	1	0	4	17636	50369	9	10	0	1	1
15096	0.0859375	149.4380212655628	3131.0	0	0	3	52050	52498	0	6	0	1	1
105444	0.06942392909896603	370.42943026307665	11921.0	0	0	1	24568	50213	15	15	1	1	1
17889	0.050724637681159424	105.999646498442	3125.0	0	1	0	6159	17934	3	7	1	1	1
77235	0.3051643192488263	985.7163142614698	28840.0	0	1	0	9321	19660	2	15	1	1	1
3910	0.11965811965811966	94.63002216043544	1711.0	0	0	3	2802	9321	6	7	1	0	1
11988	0.07352941176470588	119.63934471829798	4364.0	0	0	2.4064633591260645	0	16382	2	17	0	0	1
41031	0.0196078431372549	71.21006530332049	1622.0	0	0	2	2868	10452	0	14	1	0	1
20960	0.07886435331230283	178.9906703858306	4660.0	1	0	2	5489	10182	15	18	0	1	1
16116	0.18181818181818182	281.2096459006379	6035.0	0	1	0	10355	16007	6	10	0	1	1
15744	0.1965065502183406	354.8743451166424	11696.0	0	0	0.5935366408739355	0	5175	4	15	1	0	1
3900	0.05042016806722689	40.304679662217566	772.0	0	1	0	2702	16758	1	1	1	1	1
11772	0.085	117.52167587799102	2390.0	0	1	0	16772	50473	7	9	1	1	1
128928	0.2617124394184168	1230.131753899991	35645.0	0	0	0.5935366408739355	9753	9831	2	3	1	0	1
9964	0.13679245283018868	210.73541210330612	5560.0	0	1	0	0	5040	6	14	1	0	1
18500	0.17391304347826086	316.65447605728747	5358.0	0	0	2	5283	50175	0	6	1	1	1
25960	0.14950166112956811	294.6832048007434	5449.0	0	0	3	2900	9771	14	16	0	1	1
51876	0.1192214111922141	385.01170893346506	12342.0	0	1	0	10661	52878	7	10	1	1	1
64169	0.056768558951965066	289.9616987047847	8746.0	0	0	1.4064633591260645	4799	22739	2	27	0	0	1
52864	0.045454545454545456	158.1295841600015	5591.0	0	1	0	9339	16368	2	27	1	0	1
12995	0.08571428571428572	124.35168010605837	2741.0	0	0	1	4217	50369	10	17	1	1	1
5076	0.014150943396226415	18.272174132793996	219.0	0	0	1	1595	16385	4	6	0	1	1
