preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
5928	0.12790697674418605	149.69099806747437	2851.0	1	0	1	15653	19912	92	152	1	0	1
50657	0.12682926829268293	363.2603319910716	7441.0	0	0	1	50999	52743	118	136	1	1	1
28944	0.07476635514018691	167.47957473336658	3629.0	0	1	0	50038	50192	146	152	1	1	1
20928	0.02109704641350211	71.49329462543477	2118.0	0	0	4	19281	51185	99	101	1	0	1
13984	0.05172413793103448	91.77802140257538	2719.0	0	0	0.20561192136960926	9060	19706	121	139	1	0	1
2262	0.06593406593406594	36.564175074052514	469.0	0	1	0	0	50210	97	152	1	0	1
6466	0.12080536912751678	120.60534292688914	2099.0	0	0	1	17792	20738	152	154	0	0	1
6072	0.15328467153284672	145.8080069630445	2967.0	0	1	0	9073	58259	114	133	1	0	1
2923	0.03571428571428571	25.152566312664995	335.0	1	1	0	0	2026	111	153	1	0	1
8768	0.08648648648648649	122.69454218291047	3865.0	0	0	1	5616	52046	90	117	0	0	1
11918	0.27325581395348836	297.71141893253133	4520.0	1	1	0	21315	25492	105	114	1	0	1
4368	0.0967741935483871	73.63845698222111	895.0	0	1	0	23016	23613	114	125	1	0	1
9288	0.11494252873563218	124.9378658316573	1727.0	0	0	0.20561192136960926	17717	51444	123	141	1	1	1
20736	0.06761565836298933	129.64090811209573	2794.0	0	0	2	5978	51219	125	139	0	0	1
12771	0.07547169811320754	113.65121633664657	2607.0	0	1	0	2322	3369	109	130	1	0	1
7840	0.015544041450777202	20.684980562279254	393.0	0	0	1	25825	50010	107	135	0	1	1
11303	0.038461538461538464	53.62983085068631	852.0	0	0	1	50253	52591	114	152	1	1	1
3784	0.0234375	23.5427900615549	756.0	0	0	2	50099	50099	97	136	0	0	1
108	0.14285714285714285	15.737881076857779	115.0	0	1	0.0	0	0	0	118	0	0	1
17956	0.11666666666666667	198.00014958858557	4552.0	0	0	0.20561192136960926	3632	50308	114	139	1	0	1
4590	0.09302325581395349	78.83996232731401	1222.0	0	1	0	21196	50078	97	141	1	1	1
5104	0.1510791366906475	144.49513537231712	2951.0	0	0	1.2056119213696093	9071	9429	96	121	1	0	1
10841	0.047619047619047616	103.09086918916195	2112.0	0	1	0	20663	23533	98	99	1	0	1
31008	0.0684326710816777	207.00083749292216	4338.0	0	0	2	17908	52088	0	134	0	1	1
12505	0.05976095617529881	105.37722085698982	2481.0	0	0	0.20561192136960926	0	9414	0	152	1	0	1
