preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
20634	0.03873239436619718	78.24256356616617	1774.0	0	1	0	50732	51459	13	112	1	1	1
855	0.02857142857142857	13.835260918627489	242.0	0	0	1.196374774051037	0	2355	29	60	1	0	1
13570	0.017605633802816902	37.266641326424576	987.0	0	1	0	1935	2275	0	0	1	1	1
16443	0.1896551724137931	310.37850185800556	6875.0	0	1	0	2209	20625	7	59	1	0	1
7380	0.034334763948497854	55.06781820448791	1337.0	0	1	0	1617	2135	17	22	0	0	1
6256	0.28	267.3511913202765	8196.0	0	0	1.196374774051037	0	0	22	22	0	1	1
7085	0.17567567567567569	184.24842603806786	3874.0	0	0	2	0	50429	39	49	0	1	1
53907	0.1019522776572668	385.35710894988324	15434.0	0	1	0	2623	10570	39	41	1	0	1
52271	0.061946902654867256	214.75372104451998	7686.0	0	0	1	819	24292	20	39	0	1	1
32589	0.10574018126888217	272.8738334638098	8332.0	0	0	0.1963747740510371	2277	50004	5	29	0	0	1
97639	0.04746317512274959	232.56453100085577	8223.0	0	1	0	2823	3151	0	14	1	1	1
29992	0.07179487179487179	207.55809196257363	5580.0	0	1	0	0	1339	20	60	0	1	1
57452	0.1258741258741259	422.4267886506456	13367.0	1	0	1	779	835	0	57	0	0	1
14111	0.19402985074626866	298.50554678139224	8949.0	1	0	1	0	50088	22	39	1	1	1
975	0.047619047619047616	27.04797741138779	468.0	0	0	6	704	50017	12	29	1	1	1
145309	0.02666666666666667	158.00103854938217	5577.0	0	0	1	1942	50025	0	38	1	1	1
22270	0.16216216216216217	321.45022299293015	9114.0	0	1	0	2089	25825	1	22	1	0	1
79849	0.08289241622574955	365.85730667858326	11815.0	1	0	1	1730	1734	23	51	0	1	1
23490	0.15730337078651685	316.07537909606293	9028.0	1	0	2	0	17908	0	47	0	1	1
43210	0.10579345088161209	314.794821550389	9557.0	0	0	1.196374774051037	0	17584	22	39	0	0	1
11563	0.012531328320802004	34.667019676299034	636.0	0	1	0	16385	50069	13	41	1	0	1
71535	0.050980392156862744	206.10939646817323	7268.0	0	1	0	2763	2823	14	41	1	1	1
22620	0.29583333333333334	495.3910095073254	11611.0	0	1	0	4970	25825	0	58	1	0	1
14360	0.005037783375314861	13.524174383387553	250.0	0	0	1	2881	50028	62	69	1	1	1
5746	0.04219409282700422	71.27892409479755	1620.0	0	1	0	0	2868	7	22	1	1	1
44892	0.062360801781737196	219.42217986739053	7348.0	0	1	0	0	3079	7	9	1	0	1
8295	0.40458015267175573	380.2304557218436	9146.0	0	1	0	50108	50131	0	48	1	0	1
88755	0.18725099601593626	756.1481398968359	27647.0	0	1	0	0	50666	22	49	1	1	1
36019	0.03825136612021858	114.16287532777999	5193.0	0	1	0	1685	51222	12	23	1	1	1
16289	0.08433734939759036	172.55149643364388	6589.0	0	1	0	3240	17690	7	39	1	1	1
13960	0.026385224274406333	70.8488125684846	1397.0	0	1	0	15903	50909	0	7	1	0	1
26880	0.025	58.49272080924687	1474.0	0	0	1	50193	50193	22	119	1	0	1
29150	0.10755813953488372	278.0713339861574	7540.0	0	1	0	2642	3080	29	116	1	1	1
29866	0.020114942528735632	56.16045881937393	1890.0	0	0	1	2322	50193	41	116	1	0	1
17810	0.015209125475285171	27.438390330717787	551.0	0	1	0	0	2871	49	49	1	0	1
76375	0.17647058823529413	667.400274409016	22833.0	0	1	0	50034	50975	38	60	1	0	1
