preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
11097	0.24571428571428572	288.7298199980323	4763.0	0	1	0	0	50173	134	144	1	0	1
21423	0.155893536121673	296.0077065124141	6535.0	0	1	0	9073	50354	122	164	1	0	1
5546	0.057692307692307696	64.63429664111601	1406.0	0	0	0.8043191361728077	8857	9321	125	137	1	0	1
27025	0.06382978723404255	152.8587369961596	3679.0	0	0	2	9701	9765	129	137	1	0	1
20680	0.041935483870967745	94.05489542437006	2112.0	0	0	3	9701	50595	129	152	0	1	1
14580	0.01556420233463035	28.512977475685286	588.0	1	0	1	9321	9415	0	134	1	1	1
4277	0.15	116.7561880485048	2002.0	1	1	0	50378	50459	0	0	1	1	1
29726	0.06481481481481481	154.72561343274853	3859.0	0	0	1	3589	17885	125	175	1	0	1
7448	0.10377358490566038	146.20127618327064	2538.0	1	1	0	50223	51074	0	158	1	0	1
8316	0.04918032786885246	62.50155710853618	1280.0	0	1	0	50494	50696	164	166	1	0	1
6720	0.17006802721088435	175.81882570682555	3621.0	0	1	0	9773	15903	133	166	1	1	1
5642	0.11678832116788321	106.61588335061761	1930.0	0	1	0	9752	50378	0	0	1	1	1
11362	0.042704626334519574	81.40593738164434	1620.0	0	0	2	17885	21531	0	128	1	1	1
10854	0.0043859649122807015	7.672425341971495	204.0	0	0	3	50118	50118	164	167	0	0	1
8584	0.07344632768361582	88.32252300613642	1671.0	0	1	0	3735	16530	0	158	1	0	1
2856	0.018518518518518517	13.70282201177703	231.0	0	0	2.1956808638271923	3589	3735	0	0	1	0	1
32913	0.0027397260273972603	4.906890595608519	30.0	0	0	1	50814	50814	0	144	1	1	1
32591	0.10869565217391304	286.6009456345137	6277.0	0	1	0	9484	16803	133	170	1	0	1
17515	0.13559322033898305	222.08321603972283	4224.0	0	1	0	3527	9385	127	138	1	1	1
12905	0.07339449541284404	111.76672187718293	2284.0	0	1	0	5932	16104	0	133	1	1	1
14256	0.14285714285714285	214.1600643721271	4438.0	0	1	0	50018	50192	0	157	1	1	1
4662	0.2047244094488189	183.53875574470868	3797.0	0	1	0	9501	9753	134	164	1	1	1
2496	0.1509433962264151	95.83052712479504	1234.0	0	1	0	0	3682	137	164	1	1	1
14762	0.14622641509433962	217.63643672578507	4259.0	0	0	0.1956808638271923	17885	61174	125	164	1	1	1
16350	0.08823529411764706	150.56065793539912	3197.0	1	1	0	9105	16482	164	175	1	0	1
8580	0.10714285714285714	147.01777618713353	3138.0	0	0	1	17211	17573	134	147	1	0	1
17157	0.1963470319634703	298.86184663601625	5999.0	0	0	1	16849	50161	0	166	1	1	1
19494	0.08365019011406843	158.40891730245664	3516.0	0	0	1.8043191361728077	9705	50425	0	135	0	0	1
11375	0.2	249.54639451619715	4922.0	0	1	0	3658	50046	164	172	1	1	1
12656	0.06132075471698113	94.07335161239736	2052.0	0	0	3	50193	50527	125	135	0	0	1
22785	0.17054263565891473	311.17013211139454	6352.0	0	1	0	11378	50527	128	134	1	0	1
15582	0.1222707423580786	200.84564010026912	4478.0	0	1	0	0	9618	122	166	1	0	1
49044	0.14942528735632185	473.91188576702916	11011.0	0	1	0	9366	16510	134	144	1	1	1
20739	0.0429042904290429	93.50996827035638	2206.0	0	0	1.8043191361728077	3520	3571	133	166	0	1	1
19323	0.05185185185185185	104.95276860509976	2782.0	0	0	0.1956808638271923	50184	50425	0	137	0	0	1
