preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
14875	0.05627705627705628	96.25538794142363	2497.0	0	1	0	9321	50523	85	106	0	0	1
27650	0.03125	94.1401157850438	2407.0	0	0	2	50478	50479	45	106	0	1	1
67792	0.04563492063492063	182.85314444353335	6352.0	0	0	1	8801	50979	67	96	1	1	1
7400	0.06097560975609756	69.4068536634213	1301.0	0	0	1	0	50664	53	108	0	0	1
28150	0.05326460481099656	222.94913233841436	5169.0	0	1	0	2674	50152	0	0	1	1	1
30340	0.17666666666666667	399.08426487840114	10520.0	0	0	0.5986740935652506	3716	50060	0	95	1	0	1
6724	0.03015075376884422	41.1569488583034	815.0	0	0	1	17786	51238	76	106	1	0	1
40576	0.0774818401937046	236.73996882163118	8307.0	1	1	0	0	16396	42	95	1	0	1
3649	0.031746031746031744	27.850384757280917	504.0	0	0	1	1438	51238	106	108	1	0	1
4921	0.04938271604938271	55.69019136414568	1509.0	0	1	0	16396	17662	85	99	1	0	1
4200	0.1111111111111111	82.386203525084	1435.0	1	1	0	17934	23054	0	52	1	1	1
18285	0.05362776025236593	126.56862259285712	3286.0	0	0	3	3840	50308	0	85	0	1	1
51300	0.2445054945054945	655.5506731696831	18168.0	1	1	0	2900	16383	0	99	1	0	1
4128	0.10743801652892562	97.06257977268824	2577.0	0	0	1	2674	26823	103	108	0	0	1
48792	0.05741626794258373	181.27795713897297	6997.0	0	1	0	50074	50365	0	45	1	1	1
17584	0.06746031746031746	124.80143117333911	2956.0	0	1	0	0	18376	66	103	1	0	1
26367	0.09333333333333334	208.23196636443365	5245.0	1	0	1	3638	16450	60	85	1	0	1
25440	0.08734939759036145	214.35945882978095	5237.0	1	1	0	4135	9588	66	108	1	0	1
17420	0.0954356846473029	177.669376655271	5148.0	0	0	2	21462	50104	0	106	0	0	1
51870	0.22849462365591397	624.1218112989396	16097.0	0	0	1	4494	24026	45	85	1	1	1
22344	0.20883534136546184	388.6306421143197	12390.0	1	1	0	17640	24988	85	116	1	1	1
54324	0.042662116040955635	203.3653929914219	8993.0	0	0	3	2299	4800	0	44	0	1	1
7708	0.023255813953488372	35.03353681542886	3247.0	0	0	1	22203	22203	60	100	1	0	1
32472	0.07100591715976332	186.38943644524505	5596.0	0	0	1	17886	21596	0	106	0	0	1
18923	0.014705882352941176	30.048864239343665	750.0	0	0	1	1933	19153	99	106	0	0	1
11760	0.07112970711297072	131.9640346870517	5712.0	1	1	0	0	2097	80	106	1	0	1
