preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
41710	0.195906432748538	478.3256546489389	11255.0	0	1	0	9076	50582	236	242	1	0	1
6516	0.06372549019607843	93.92474408125543	3684.0	0	0	0.8522256990006554	0	50043	0	278	1	0	1
2520	0.05154639175257732	32.43204107166833	571.0	0	0	0.8522256990006554	0	0	0	242	1	0	1
4628	0.03553299492385787	51.9105651176099	1329.0	0	0	3	50416	50886	284	284	0	0	1
14694	0.02032520325203252	40.74162801618691	2740.0	0	0	1	17097	50709	251	284	1	0	1
10290	0.06282722513089005	81.17549545647414	1444.0	0	1	0	9343	50405	239	283	1	1	1
5208	0.0641025641025641	78.09735039219112	3863.0	0	0	0.8522256990006554	0	0	236	242	1	0	1
20678	0.023178807947019868	56.74547785072153	2230.0	0	0	1	15897	17969	284	284	1	0	1
11088	0.1368421052631579	188.67831977064515	4824.0	0	1	0	15673	23342	251	262	1	1	1
8109	0.09375	131.9712601777127	4935.0	0	1	0	9346	16482	242	278	1	1	1
25296	0.06707317073170732	152.5303084017511	2967.0	0	0	3	0	0	0	266	1	1	1
950	0.125	42.11241573605782	469.0	0	0	0.8522256990006554	3899	55384	242	275	1	1	1
3198	0.00847457627118644	5.426264754702098	43.0	0	0	1	51570	53662	266	284	1	1	1
18468	0.15289256198347106	249.98636068708754	4699.0	0	1	0	2505	9678	0	284	1	0	1
408	0.022222222222222223	4.954196310386875	31.0	0	1	0	9588	17450	284	290	1	0	1
137530	0.06761177753544166	443.501938599556	9805.0	0	0	0.8522256990006554	16414	51226	251	281	1	0	1
9676	0.21212121212121213	242.68423038041863	4925.0	1	1	0	9446	17640	283	284	1	1	1
18360	0.06692913385826772	124.54183877944142	3647.0	0	0	1.1477743009993446	3871	17396	266	266	1	0	1
8694	0.11049723756906077	127.12430757833123	1965.0	0	0	1	50487	50774	258	289	1	1	1
645	0.13725490196078433	47.8601555887124	2433.0	0	1	0	16046	18158	251	251	1	0	1
56721	0.0888382687927107	281.2501346876388	6600.0	0	1	0	15534	17908	242	264	1	0	1
6110	0.017241379310344827	25.755828895515094	2272.0	0	0	49.852225699000655	0	16389	251	277	0	0	1
52547	0.17587939698492464	493.9656840525745	12453.0	1	1	0	4416	50275	264	278	1	0	1
7680	0.14285714285714285	162.85705342789782	5596.0	0	1	0	15931	16259	238	266	1	0	1
5712	0.1968503937007874	160.83607604209575	3897.0	0	1	0	9313	51777	242	284	1	0	1
19404	0.1169811320754717	224.23657778287352	5470.0	0	1	0	11298	21606	262	282	1	0	1
13230	0.06756756756756757	103.87980135318149	2016.0	0	1	0	3739	16228	251	251	1	1	1
13992	0.09174311926605505	137.75120711916267	2569.0	0	1	0	17407	17811	277	278	1	0	1
8183	0.04854368932038835	71.42257916052739	2997.0	0	1	0	0	24902	236	242	1	1	1
40716	0.1270718232044199	323.9064386083523	7924.0	0	1	0	15907	17454	240	251	1	0	1
2464	0.08695652173913043	54.87207998892408	1518.0	1	1	0	9262	50359	0	283	1	1	1
4026	0.09482758620689655	71.39719004252461	1324.0	0	0	3	2061	2849	283	283	0	0	1
4240	0.006896551724137931	7.539158811108031	186.0	0	0	0.14777430099934463	0	17934	0	292	1	0	1
10384	0.049107142857142856	85.3821269924209	3094.0	0	0	1	0	50131	254	283	0	0	1
13464	0.20909090909090908	312.3334968403862	7552.0	0	1	0	50178	50692	236	248	1	1	1
5670	0.011834319526627219	14.054519530852371	288.0	0	0	1.8522256990006554	0	6126	0	283	0	0	1
3980	0.07352941176470588	103.70088770511562	2367.0	0	0	1	0	50305	0	238	0	0	1
108116	0.07169344870210136	418.6524083936643	11072.0	0	0	0.14777430099934463	0	17707	0	251	0	0	1
17472	0.06976744186046512	180.90305087777767	6503.0	0	0	2	9378	9429	0	278	0	0	1
167736	0.03759011328527292	499.54763223829895	9856.0	0	0	1.1477743009993446	0	50073	273	284	0	0	1
14175	0.044897959183673466	81.56962492680567	3480.0	1	1	0	11274	50197	0	284	1	1	1
19832	0.11462450592885376	219.13843092204087	7294.0	0	1	0	6139	50043	264	264	1	1	1
1615	0.09473684210526316	53.04774281495071	1085.0	1	1	0	9344	9773	249	291	1	1	1
10863	0.0228310502283105	30.074062166041703	525.0	0	0	3	16234	16510	279	283	1	0	1
1856	0.08433734939759036	45.852376928539556	1133.0	1	1	0	17050	50070	0	284	1	1	1
11408	0.0603448275862069	97.73984349335839	2106.0	1	1	0	2247	9586	0	240	1	0	1
41664	0.11141304347826086	305.17653450913747	9521.0	0	0	1	16744	16763	254	283	1	0	1
1664	0.01694915254237288	11.693486957499324	117.0	1	0	1	21536	50340	240	266	1	0	1
23068	0.05099150141643059	124.81580388626253	4434.0	0	1	0	3754	21022	254	256	1	0	1
11440	0.1657754010695187	195.01988928629467	3110.0	1	0	1	9588	11298	240	283	1	0	1
9744	0.1024390243902439	140.70615444164966	2642.0	0	1	0	9351	9477	244	254	1	0	1
85204	0.058301647655259824	314.838216903475	7489.0	0	0	1.1477743009993446	0	50078	0	0	0	0	1
7371	0.01694915254237288	20.642411362612197	364.0	0	0	3	50909	50909	240	248	0	1	1
9657	0.2692307692307692	290.5032029530812	7086.0	0	1	0	9665	50180	236	283	1	0	1
12576	0.18848167539267016	244.09116427496568	4505.0	0	1	0	15939	50365	0	0	1	1	1
1800	0.22857142857142856	104.45317255372399	1739.0	0	1	0	0	17548	238	279	1	1	1
14553	0.18269230769230768	268.33225972882593	7002.0	0	1	0	9677	21613	283	284	0	0	1
1792	0.08396946564885496	75.93217163998547	1423.0	0	0	1.1477743009993446	0	53663	0	264	1	0	1
7268	0.03636363636363636	48.465210788130626	2872.0	0	0	0.14777430099934463	0	51060	0	244	1	1	1
15416	0.0975609756097561	173.03000811927947	5263.0	0	1	0	17522	18108	0	262	1	1	1
600	0.0784313725490196	21.032347118121525	165.0	1	1	0	9343	50963	240	290	1	1	1
3552	0.047244094488188976	45.48896169067601	1162.0	0	0	1.1477743009993446	16381	51268	0	251	1	0	1
4392	0.019704433497536946	27.35722390830937	483.0	0	0	2	0	3571	0	262	1	0	1
8745	0.0430622009569378	69.06801792089512	3698.0	0	0	2	16924	25191	238	289	0	0	1
22816	0.06944444444444445	152.15964981702786	5728.0	1	0	0.8522256990006554	0	17907	236	251	1	1	1
17576	0.3	440.24482888066035	10007.0	1	1	0	8966	17537	0	284	1	1	1
10767	0.08333333333333333	104.9124590997399	1672.0	0	0	1.8522256990006554	0	0	0	289	0	0	1
5916	0.23015873015873015	193.0335531252271	3263.0	0	1	0	20557	55248	0	279	1	0	1
3360	0.02608695652173913	26.233407860862652	2334.0	0	0	2	17507	50544	242	264	1	1	1
7812	0.10144927536231885	134.7691935702023	3679.0	0	1	0	21841	50631	0	0	1	0	1
12874	0.16585365853658537	234.2069870759106	6299.0	1	1	0	50093	52291	283	291	1	0	1
11696	0.3114754098360656	386.10678017692675	7060.0	0	0	0.8522256990006554	0	9536	0	238	1	0	1
9506	0.06578947368421052	100.75237466903756	3222.0	0	0	1	0	16969	278	284	1	0	1
5986	0.09154929577464789	91.63956071587462	1824.0	0	1	0	8112	52555	0	283	1	0	1
3139	0.07407407407407407	57.45212082415561	1598.0	1	1	0	16062	18123	279	284	1	1	1
25872	0.066006600660066	146.42133024121185	5421.0	0	1	0	9625	50131	251	254	1	0	1
57552	0.10792951541850221	362.1600846672083	10785.0	0	0	1	16541	50043	266	284	0	1	1
1472	0.05405405405405406	27.606452035345402	489.0	0	0	2	9763	17707	242	251	0	1	1
4818	0.13008130081300814	112.48775593727709	2992.0	0	1	0	5213	16889	0	251	1	1	1
10368	0.10784313725490197	148.99765500545206	2705.0	0	1	0	0	14742	283	283	0	0	1
3016	0.05970149253731343	51.56877882040561	784.0	0	0	2	50128	50128	0	251	1	0	1
70512	0.26588235294117646	797.573370494597	18211.0	0	0	1	9429	50344	242	278	1	1	1
18360	0.07114624505928854	131.62849600890107	4779.0	0	1	0	2028	50010	0	262	1	0	1
45424	0.158311345646438	416.68149362634784	9710.0	0	0	1	17726	50070	251	254	1	0	1
17667	0.2523364485981308	361.41432682041943	6487.0	1	1	0	9561	50963	242	243	1	1	1
21021	0.03571428571428571	77.58830487384688	3693.0	0	0	0.14777430099934463	17766	23092	0	284	0	0	1
21390	0.14901960784313725	273.7116582208926	8134.0	0	1	0	9495	17786	0	288	1	0	1
46971	0.07728337236533958	234.60856222869828	6730.0	0	0	2	3571	17083	244	284	0	0	1
11725	0.07555555555555556	117.24658771176924	2966.0	0	0	1	0	9617	0	251	1	0	1
2540	0.05	48.54480237307155	918.0	0	1	0	0	22205	283	284	1	1	1
3240	0.08620689655172414	71.10673962393012	2051.0	0	1	0	4612	50091	251	257	1	0	1
72	0.058823529411764705	5.129283016944966	35.0	1	1	0	50166	50256	0	240	1	0	1
34960	0.16109422492401215	382.22384331921785	8532.0	0	1	0	16758	19606	236	262	1	1	1
1914	0.07058823529411765	39.88487164158529	1084.0	1	1	0	9078	9477	244	266	1	1	1
7872	0.04433497536945813	58.26598357922524	939.0	1	1	0	9344	50909	0	242	1	0	1
13600	0.21287128712871287	297.10343368197476	5518.0	1	1	0	9129	50152	281	284	1	1	1
4800	0.021897810218978103	19.782441585218454	291.0	0	0	1	17766	17956	277	281	0	0	1
3705	0.17307692307692307	120.74092291843614	2029.0	0	1	0	15920	16077	0	290	1	1	1
39928	0.079155672823219	219.21861557834092	6615.0	0	0	2	0	51532	0	251	1	0	1
10656	0.17613636363636365	219.32277644882763	6122.0	0	0	0.14777430099934463	0	18366	0	278	0	0	1
