preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
16074	0.10869565217391304	179.64462512978162	3961.0	0	0	1	3716	16267	11	39	1	1	1
53332	0.23544973544973544	641.1766397140967	14484.0	0	0	0.3748502994012597	0	9366	10	11	0	1	1
156	0.018518518518518517	7.672425341971495	204.0	1	1	0	2381	3667	21	37	1	1	1
4851	0.07784431137724551	87.82375955008742	1546.0	0	1	0	3575	5336	11	28	1	1	1
22072	0.13533834586466165	256.7418022489571	5486.0	0	1	0	2355	52321	22	28	1	0	1
8580	0.044444444444444446	50.4224012908277	774.0	0	1	0	9076	51059	10	31	1	1	1
21243	0.05333333333333334	117.3700540296263	2873.0	1	0	1	17636	50013	0	22	1	1	1
9234	0.07142857142857142	102.48313438684447	1767.0	0	1	0	17018	50143	10	20	1	0	1
8010	0.05188679245283019	72.62172626214323	1280.0	0	0	1	17060	17788	10	17	1	0	1
9300	0.18404907975460122	208.21836505409917	3907.0	0	1	0	0	21056	0	21	1	0	1
21620	0.16967509025270758	340.25774635775906	8244.0	0	0	2	0	50400	33	36	0	0	1
5187	0.1297709923664122	116.16398484014307	2200.0	0	0	1.6251497005987403	50060	50963	10	20	1	0	1
3008	0.18085106382978725	106.80234284632812	1412.0	0	1	0	9326	50534	0	10	1	0	1
18720	0.1322314049586777	225.78380509126535	4868.0	0	1	0	0	14231	10	22	1	1	1
18928	0.04	79.22523981232249	1704.0	0	0	0.6251497005987403	3564	9618	0	31	0	0	1
40275	0.10989010989010989	296.943640855238	7546.0	0	0	2	16810	51465	6	37	0	0	1
12705	0.1152073732718894	175.61736841637398	3595.0	0	1	0	9159	50347	6	25	1	1	1
6566	0.10909090909090909	126.129463035987	2586.0	0	1	0	3530	50510	6	18	1	0	1
2035	0.05747126436781609	35.12210385653027	662.0	0	0	1	18109	50596	11	19	1	0	1
15748	0.06808510638297872	113.73882548408253	2487.0	0	0	1	9564	52321	10	22	1	0	1
1890	0.14473684210526316	70.82736666172086	1256.0	1	1	0	9382	50050	11	30	1	0	1
4230	0.21238938053097345	146.53731308216297	1775.0	0	1	0	9326	50197	10	21	1	1	1
14274	0.10648148148148148	164.83431863694108	3477.0	0	1	0	16256	51683	0	28	1	1	1
6640	0.13986013986013987	140.3227155803116	2688.0	0	1	0	5898	19095	0	22	1	1	1
26112	0.1608832807570978	375.31358363814854	9443.0	0	0	1	17625	17658	6	11	1	1	1
7128	0.11038961038961038	117.84113587097862	2367.0	0	1	0	3674	10937	4	11	1	0	1
20224	0.07116104868913857	135.56757019178698	2911.0	1	0	1.3748502994012597	3240	50052	22	34	1	1	1
12371	0.08056872037914692	115.38009275855113	2307.0	0	1	0	3366	16794	12	22	0	0	1
40385	0.11666666666666667	298.4056716373679	6392.0	0	1	0	17573	50338	0	24	1	0	1
3312	0.11428571428571428	83.95273877089814	1767.0	0	0	1.6251497005987403	50400	50507	21	33	1	1	1
12573	0.08133971291866028	120.83617422637197	2562.0	0	1	0	50257	52488	11	21	1	0	1
21280	0.12302839116719243	269.5868837468643	5058.0	0	1	0	22237	50156	0	19	1	0	1
11388	0.10096153846153846	151.02270350947654	3323.0	0	0	1	50025	51219	10	36	1	0	1
21868	0.07636363636363637	151.79970797789696	3538.0	0	1	0	10202	52103	10	10	1	0	1
12765	0.09482758620689655	153.52507516125317	3131.0	0	1	0	0	4481	4	16	1	0	1
1526	0.0423728813559322	33.38536822142572	625.0	0	1	0.0	0	22935	0	11	1	1	1
13846	0.26666666666666666	359.3709970480828	7301.0	0	1	0	25280	50000	16	22	1	0	1
7140	0.05752212389380531	90.64251360563603	1732.0	0	0	0.6251497005987403	15903	51841	31	41	1	1	1
19296	0.16470588235294117	297.36078159352064	6467.0	1	1	0	50494	50675	2	39	1	1	1
14039	0.18226600985221675	253.22062826567364	4739.0	0	1	0	22200	50035	0	22	1	0	1
13860	0.19138755980861244	284.44219687033217	5896.0	0	0	1	9415	50124	1	11	1	0	1
1728	0.10256410256410256	48.42904232746055	626.0	0	1	0	3735	11099	31	33	1	0	1
336	0.05263157894736842	12.761343456100649	184.0	1	1	0	1384	21852	0	19	1	1	1
22140	0.10163934426229508	213.08236676399065	4278.0	0	1	0	9603	50111	26	28	1	0	1
27432	0.13953488372093023	303.204226194789	6877.0	0	0	0.3748502994012597	17278	50223	0	6	1	1	1
17484	0.0728744939271255	138.25521006502322	3958.0	0	1	0	16068	17566	10	11	1	1	1
11023	0.09268292682926829	135.8108302525272	3035.0	0	0	2	17018	25024	4	13	1	1	1
10412	0.14516129032258066	195.8112522312309	4546.0	0	1	0	0	7316	22	33	1	1	1
13986	0.28804347826086957	357.7183162871121	5892.0	1	1	0	6400	8992	0	22	1	0	1
38016	0.1330049261083744	364.0665055105475	6766.0	0	0	1	17908	51198	22	33	1	0	1
15484	0.10344827586206896	163.43422668153747	3021.0	0	1	0	9384	50052	12	34	1	1	1
11766	0.06372549019607843	91.65443884290222	1907.0	0	0	0.3748502994012597	0	50000	0	10	1	1	1
5240	0.11764705882352941	127.57342341751185	2626.0	0	1	0	6400	50018	0	0	1	0	1
10146	0.20118343195266272	235.6257076238254	4580.0	0	1	0	21084	50422	20	28	1	1	1
11136	0.03864734299516908	59.93174352896695	1478.0	0	0	1	50132	50899	11	35	1	1	1
7182	0.010810810810810811	14.700818982636232	368.0	0	0	2	50018	50143	20	21	0	1	1
5580	0.256198347107438	212.27651810357702	3928.0	0	0	1	8851	16510	22	33	0	1	1
8815	0.06896551724137931	119.51041331655166	3100.0	0	1	0	3638	26747	10	22	0	1	1
3835	0.19230769230769232	143.54890735087636	3253.0	0	1	0	835	9530	8	29	0	0	1
4352	0.007633587786259542	6.523561956057013	92.0	0	0	1	50534	51683	0	0	1	0	1
18444	0.20087336244541484	340.5842592962056	8719.0	0	1	0	51177	51700	22	40	1	0	1
20155	0.26222222222222225	393.8798736778951	6486.0	0	1	0	17636	50419	11	20	1	1	1
6324	0.24806201550387597	220.09458230164103	4007.0	0	1	0	0	17763	0	10	1	0	1
21318	0.10661764705882353	205.6558932400927	4365.0	1	1	0	9415	50184	20	22	0	0	1
4576	0.16535433070866143	139.74724450775474	2517.0	1	1	0	17661	23099	29	34	1	1	1
4560	0.07692307692307693	76.89416390302272	1480.0	0	1	0	17140	50018	0	19	1	0	1
13300	0.25668449197860965	327.57786011413685	6043.0	1	1	0	2422	50504	0	0	1	0	1
4674	0.09523809523809523	92.69525371103535	1488.0	1	1	0	3569	9783	11	11	1	1	1
1452	0.047619047619047616	25.071801613108477	321.0	0	0	1	11224	50016	0	22	1	0	1
10676	0.06635071090047394	107.43854007341116	3362.0	0	0	2	24988	50155	10	36	0	0	1
34692	0.058011049723756904	158.42142285259158	4153.0	0	0	2	50001	50338	0	12	1	0	1
25070	0.02416918429003021	58.33539625098882	1286.0	0	0	1.3748502994012597	3581	50193	0	12	0	0	1
23309	0.08896797153024912	184.68344885995805	4590.0	0	0	1	0	17662	11	19	1	1	1
20212	0.09125475285171103	177.39185984493523	4551.0	0	1	0	17887	51527	10	11	1	0	1
2400	0.10714285714285714	80.24421847541974	1287.0	1	1	0	50173	53352	0	0	1	0	1
21420	0.1746031746031746	316.64216969123004	6818.0	0	1	0	3575	19445	10	10	0	0	1
14688	0.07236842105263158	158.41107389218644	3913.0	0	1	0	17658	22214	11	38	1	1	1
14238	0.14682539682539683	261.2822808959392	5524.0	0	1	0	3716	10843	10	31	1	0	1
14204	0.23711340206185566	319.8695858582317	6269.0	0	0	2	16396	50258	19	20	0	1	1
7168	0.22666666666666666	237.860319318907	5104.0	1	0	0.3748502994012597	3240	3240	0	22	1	1	1
6624	0.09271523178807947	101.23190605656428	2284.0	0	0	1	17625	50554	6	6	1	0	1
4092	0.19130434782608696	151.20668354268284	2745.0	0	0	3	15892	25008	0	12	1	0	1
4992	0.12698412698412698	103.80578567959623	1627.0	0	0	2.6251497005987403	9321	16406	16	31	1	0	1
17780	0.12184873949579832	213.37272379002482	5148.0	0	0	0.3748502994012597	0	21621	0	37	1	0	1
1484	0.14084507042253522	62.771410241118964	796.0	0	1	0	21852	50534	19	37	1	0	1
13320	0.01762114537444934	30.833046048301178	949.0	0	0	0.6251497005987403	50000	50350	0	36	1	1	1
3640	0.10084033613445378	71.03437793503979	794.0	0	1	0	0	50029	19	21	1	0	1
14536	0.08695652173913043	146.11982560588942	3502.0	0	1	0	7168	50143	3	10	1	0	1
19924	0.09393939393939393	214.52096853562503	4110.0	0	1	0	10937	57952	20	41	1	0	1
26727	0.05806451612903226	134.53360523219186	3440.0	0	0	0.3748502994012597	9618	17566	0	39	1	0	1
43657	0.1421188630490956	382.1048667515869	7229.0	0	1	0	9480	10937	20	29	1	0	1
34580	0.11331444759206799	298.49387894936615	7640.0	0	0	0.6251497005987403	17214	25278	22	36	1	0	1
7448	0.2	198.12282249195792	3841.0	1	1	0	9384	25011	0	12	1	1	1
16815	0.088	154.1777583922244	3040.0	0	0	1	3576	9802	9	31	1	0	1
14965	0.20346320346320346	321.54707511313813	5873.0	0	1	0	9315	9403	4	10	1	0	1
18423	0.13409961685823754	243.34129438928343	4642.0	0	0	1.3748502994012597	50485	50963	0	26	1	0	1
6622	0.06486486486486487	87.36609145362239	2143.0	0	0	1	0	50538	8	15	0	0	1
2904	0.08208955223880597	77.33758642511263	1714.0	1	0	3	50007	50073	4	39	0	0	1
2720	0.08	55.153661169180694	1166.0	0	1	0	16530	50868	10	34	1	1	1
320	0.06666666666666667	18.211584153079528	228.0	1	1	0	6102	61234	0	11	1	1	1
19908	0.06766917293233082	125.7333816997108	2427.0	0	1	0	20678	50002	0	22	1	0	1
8811	0.25333333333333335	261.63319830892215	4793.0	0	1	0	17135	51535	22	33	1	1	1
17816	0.09876543209876543	158.7255756940653	3038.0	0	1	0	16117	50232	19	25	1	1	1
7194	0.011560693641618497	15.448116305409462	479.0	0	0	3	4700	51382	10	33	0	1	1
32385	0.09770114942528736	244.14855760413766	5270.0	0	0	1	9692	50074	0	11	1	0	1
11523	0.14563106796116504	214.5475485235265	4755.0	0	0	1.3748502994012597	0	9580	0	13	0	0	1
22879	0.23076923076923078	416.0818705946846	9712.0	0	1	0	9321	16990	1	31	1	0	1
10008	0.1164021164021164	144.57827468127275	2422.0	1	0	0.3748502994012597	17397	26075	4	33	1	1	1
3825	0.058823529411764705	40.38553560276443	432.0	1	1	0	24988	54719	22	31	1	1	1
21084	0.12040133779264214	260.508555376373	5752.0	0	0	1	9415	16414	1	1	1	1	1
5940	0.21374045801526717	186.8486342680578	3367.0	0	1	0	9077	16353	0	22	1	1	1
14560	0.06752411575562701	150.12982840817685	3401.0	0	0	1	21781	50156	0	12	1	0	1
13770	0.07727272727272727	118.81874669547057	2387.0	0	1	0	1607	3572	10	10	1	0	1
10472	0.10454545454545454	160.39187685590235	3303.0	0	1	0	194	50124	23	33	1	0	1
23925	0.006493506493506494	13.943888369875872	256.0	0	0	3	50124	50124	0	11	1	1	1
20640	0.05423728813559322	117.57531600304324	2756.0	0	0	1	9076	15903	10	28	1	0	1
11288	0.04285714285714286	65.15032406516316	1408.0	1	1	0	21542	50383	0	11	1	0	1
33948	0.12084592145015106	281.0505723175951	5633.0	0	1	0	5242	9078	10	33	1	0	1
13629	0.15454545454545454	236.037398257165	4671.0	1	1	0	3576	25156	9	10	1	1	1
13195	0.07272727272727272	108.71382480081489	2179.0	0	0	1.6251497005987403	5845	50060	10	39	0	0	1
6560	0.0945945945945946	100.29560832055651	2156.0	0	0	1	0	16408	0	11	0	1	1
2318	0.08791208791208792	57.16560142337313	1160.0	0	0	0.3748502994012597	0	50184	0	10	1	0	1
17536	0.19909502262443438	296.504181801013	5389.0	0	1	0	9492	51624	11	31	1	1	1
