preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
16665	0.11875	274.80377904889554	6312.0	1	1	0	23995	51657	242	249	1	1	1
15411	0.041666666666666664	118.29899912625999	1893.0	0	0	1	1974	6102	312	333	1	1	1
352	0.05555555555555555	11.361943773735241	202.0	0	0	1.8806246691372053	0	57662	0	308	1	0	1
3990	0.07236842105263158	67.96910002274129	1038.0	0	0	1	0	50487	243	266	1	0	1
19188	0.16129032258064516	326.333955024688	7830.0	0	1	0	23968	53147	0	238	1	0	1
16224	0.16071428571428573	247.39698113420891	4961.0	0	1	0	2849	2954	0	297	1	0	1
7575	0.05389221556886228	60.375359315820006	1057.0	0	0	1	3080	7775	238	320	1	0	1
2379	0.17647058823529413	98.786293324835	1783.0	0	0	2	2152	2813	238	325	0	1	1
13920	0.13392857142857142	212.8655485374502	4633.0	0	1	0	0	10969	275	308	1	1	1
17658	0.07539682539682539	138.1331539177514	3601.0	0	1	0	0	52984	316	332	1	1	1
26460	0.11986301369863013	268.5486079261345	7547.0	0	1	0	52244	52761	238	320	1	0	1
20548	0.06680584551148225	223.8827817100597	4495.0	0	0	1	1518	1974	333	333	1	1	1
145831	0.08616187989556136	481.04672121488807	11542.0	0	1	0	6493	51924	251	316	1	1	1
338	0.11428571428571428	27.958984115468546	634.0	0	0	2	1685	2834	249	253	1	0	1
5846	0.17692307692307693	156.89913880108028	2757.0	0	1	0	2401	50831	235	238	1	1	1
3922	0.15454545454545454	123.53027838791095	3308.0	0	1	0	22356	53192	249	289	1	0	1
29393	0.06948640483383686	175.19152650437388	4771.0	0	1	0	2442	25278	0	312	1	1	1
22968	0.2681992337164751	500.5861457753419	11249.0	0	1	0	6560	16420	0	273	1	0	1
11180	0.020202020202020204	45.72631412111622	1421.0	0	1	0	50244	51530	314	334	1	0	1
26741	0.1827956989247312	386.6929659681672	10573.0	1	0	1	50054	50514	243	311	1	1	1
29824	0.13166144200626959	318.726079465072	8983.0	0	1	0	2891	12261	249	249	1	1	1
32016	0.05413105413105413	140.72005872962865	3905.0	0	0	1	8529	50054	249	310	1	0	1
119288	0.19487179487179487	858.1759221234013	22965.0	0	0	1.1193753308627947	2442	50060	0	0	1	0	1
25384	0.2862903225806452	505.7127576659251	11488.0	0	1	0	2052	16530	275	327	1	1	1
3634	0.02459016393442623	23.360566351885645	670.0	0	1	0	11224	11227	246	312	1	0	1
36740	0.1415929203539823	345.06752092524994	7854.0	0	1	0	2454	50023	279	333	1	1	1
14762	0.05574912891986063	114.09534079335798	2688.0	0	1	0	5449	23330	285	312	1	0	1
11340	0.07352941176470588	112.6780908085174	3219.0	0	0	1	2561	3716	275	314	1	1	1
20306	0.05555555555555555	112.01780597135065	3495.0	0	0	3	2068	16671	314	327	0	0	1
24990	0.09666666666666666	213.25586128655974	5404.0	0	0	1.8806246691372053	0	25542	0	243	0	0	1
11877	0.1595744680851064	222.33091387102226	6395.0	1	0	1	2813	25546	249	316	1	1	1
24138	0.06460674157303371	174.97097806235058	4919.0	0	1	0	5040	50039	316	331	1	1	1
11766	0.041666666666666664	83.6727865292657	2380.0	0	0	1	697	15807	260	285	1	0	1
5520	0.19424460431654678	201.6423425964016	5356.0	0	1	0	3161	11227	284	312	1	1	1
38678	0.23148148148148148	572.1754901209064	15865.0	0	1	0	12261	25874	249	316	1	0	1
36158	0.06128133704735376	172.95969992859844	5473.0	0	0	2	0	5845	275	297	1	0	1
20691	0.17110266159695817	315.51962094192197	6596.0	0	0	3	3044	24119	265	333	0	1	1
7888	0.06358381502890173	83.045204610203	2223.0	0	0	2	0	1805	260	293	1	1	1
25568	0.08361204013377926	187.62675187538312	5144.0	0	1	0	5221	20807	247	332	1	0	1
7140	0.043209876543209874	51.79692591120875	1423.0	0	1	0	2561	52685	251	275	1	0	1
26035	0.1527777777777778	324.58275239997727	8559.0	0	1	0	1502	50035	238	247	1	1	1
32500	0.06944444444444445	180.67922286255896	4327.0	0	0	1	0	3218	299	331	0	1	1
30098	0.096875	238.42091551604213	6873.0	0	1	0	16038	24145	279	279	1	0	1
4320	0.033112582781456956	38.675464848287454	1343.0	0	0	1	672	2472	248	260	1	0	1
27056	0.0947075208913649	249.7913084883778	6103.0	0	0	2	0	2376	249	314	1	1	1
741	0.07692307692307693	39.74349603619036	1437.0	0	1	0	2041	2201	0	0	1	1	1
36025	0.03836317135549872	111.64670100280034	2870.0	0	0	0.8806246691372053	0	56210	0	314	0	0	1
25728	0.09302325581395349	213.76893024028408	6012.0	0	0	3	1606	2432	249	275	1	0	1
16614	0.2175732217573222	351.68178167462634	6062.0	0	1	0	1578	50474	265	331	1	0	1
19032	0.04363636363636364	85.04694765924266	1863.0	0	0	2	1565	2288	0	243	1	0	1
90576	0.2647058823529412	959.1997077205424	26632.0	0	0	2	2442	5119	0	335	0	0	1
26970	0.15015015015015015	377.726297898019	10223.0	0	0	1	23618	55100	0	238	1	0	1
1786	0.13333333333333333	73.34518562368702	2151.0	0	0	2	2355	24936	249	266	1	1	1
9894	0.07567567567567568	98.33844100412969	2069.0	0	1	0	6095	6587	273	311	1	1	1
12788	0.16080402010050251	224.58370275603588	4628.0	0	0	1	1451	5898	238	316	1	0	1
10230	0.05238095238095238	81.42516064784492	1989.0	0	0	0.11937533086279473	2919	15836	0	267	1	0	1
40086	0.08436724565756824	262.23310797618876	7511.0	0	0	3	2553	5119	260	335	0	1	1
10062	0.09486166007905138	184.2110864490009	5426.0	0	1	0	7760	51130	277	316	1	1	1
37400	0.07799442896935933	209.22437579457645	5465.0	0	1	0	2761	50514	278	311	1	0	1
2852	0.3170731707317073	173.89228570731137	2903.0	0	1	0	1267	2022	273	333	1	1	1
7850	0.1896551724137931	217.15360892095242	3634.0	0	1	0	15959	25672	248	309	1	1	1
21300	0.07225433526011561	188.51683660550435	5377.0	0	0	1	5318	15825	246	297	1	1	1
13098	0.19895287958115182	272.23864744687216	6116.0	0	1	0	1355	5971	235	238	1	1	1
24702	0.2782258064516129	488.80933344807454	10727.0	0	1	0	1547	1828	243	312	1	1	1
5460	0.04666666666666667	55.682413646769966	1872.0	0	0	1	9609	17690	246	260	1	0	1
43279	0.10222222222222223	337.7791552191703	8777.0	0	1	0	2561	2834	331	332	1	1	1
4180	0.04225352112676056	41.68638101428846	883.0	0	0	1.1193753308627947	0	53339	275	293	1	1	1
53890	0.07982261640798226	260.9263083922804	6521.0	0	0	1	818	21119	308	311	1	1	1
8910	0.05339805825242718	82.21655343217037	2122.0	0	1	0	25645	52984	277	332	1	1	1
9095	0.0	0.0	0.0	0	0	0.8806246691372053	1943	24408	245	316	1	0	1
62496	0.11529933481152993	395.46204309711453	11022.0	0	1	0	50768	51517	243	333	1	1	1
6272	0.05555555555555555	87.69821405120676	2316.0	0	1	0	54960	55543	249	312	1	0	1
6720	0.06666666666666667	80.33838927101672	1987.0	0	0	2	2061	50271	248	279	1	1	1
36993	0.14540059347181009	348.5204840718601	7914.0	0	0	3	3044	9224	265	333	0	1	1
23035	0.037900874635568516	94.4573905016581	2298.0	0	0	1	25639	52685	251	275	1	1	1
3816	0.005494505494505495	6.9886846867721655	127.0	0	0	5	2029	20357	266	309	0	1	1
16268	0.03333333333333333	67.99701782065026	1785.0	0	0	1	1612	2442	308	314	1	1	1
29040	0.11641791044776119	290.0219564399683	7499.0	1	0	2	2072	3041	314	316	1	1	1
31584	0.06725146198830409	172.3270773042864	4511.0	0	0	0.11937533086279473	1702	51657	238	287	1	1	1
