preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
24948	0.15460526315789475	314.98442522381714	6389.0	1	0	2	0	3062	0	235	1	0	1
6420	0.23703703703703705	231.8077157584141	5180.0	0	1	0	694	20732	250	255	1	1	1
12543	0.01818181818181818	29.219133929603984	754.0	0	0	3	637	52401	245	267	1	1	1
5778	0.012578616352201259	15.279284109699294	432.0	0	0	1	1595	50350	252	268	1	0	1
78	0.025	6.129283016944966	70.0	0	0	0.0444013743283449	2054	2768	246	250	1	1	1
58800	0.09977324263038549	334.98452983898244	9822.0	0	1	0	1685	23728	235	255	1	0	1
11058	0.15934065934065933	186.04060053206766	2749.0	0	0	1	2734	51926	0	260	1	1	1
2989	0.13402061855670103	82.62646790762567	1192.0	0	1	0	2944	3172	252	265	1	0	1
40513	0.1989247311827957	553.341065013924	14113.0	0	1	0	5932	25672	245	245	1	0	1
9280	0.02617801047120419	35.99849824409928	833.0	0	0	0.0444013743283449	26857	50137	245	267	1	0	1
7467	0.189873417721519	205.03761996625963	3867.0	1	1	0	2135	50215	260	269	1	0	1
4068	0.02054794520547945	21.214247963395664	449.0	1	0	2	1704	50336	239	262	1	0	1
4355	0.03125	27.399469963817292	475.0	0	1	0	2248	2611	235	255	1	1	1
7740	0.028688524590163935	53.319849723248154	1419.0	0	1	0	2830	3120	260	276	1	1	1
3360	0.06201550387596899	51.6622188544125	814.0	0	1	0	6399	50055	267	278	1	1	1
8265	0.046632124352331605	64.94292967585221	1662.0	0	0	1	1934	3036	257	267	1	1	1
32370	0.07761194029850746	193.99523120169624	5015.0	0	1	0	2493	50824	241	271	1	0	1
1368	0.021739130434782608	13.663113308455806	257.0	1	1	0	3388	6138	0	278	1	0	1
31768	0.10060975609756098	244.88163750042892	6124.0	0	1	0	2248	2248	0	0	1	1	1
5576	0.041176470588235294	52.36136224147005	1931.0	0	1	0	2736	2755	260	267	1	0	1
18096	0.07335907335907337	134.7068907089581	2942.0	0	0	1	0	50165	255	272	1	1	1
19456	0.1067193675889328	184.97477650434277	3413.0	0	1	0	2830	17640	0	257	1	0	1
6438	0.06622516556291391	72.35650796235157	1726.0	0	1	0	2443	2805	259	268	1	0	1
25198	0.12797619047619047	301.43951194759353	6775.0	0	0	1	2868	5211	0	255	1	1	1
2132	0.0449438202247191	23.65085355355979	382.0	1	1	0	2763	10843	244	247	1	0	1
1037	0.16417910447761194	75.82858928325007	2179.0	0	0	1	2191	2756	235	250	0	0	1
17441	0.08870967741935484	165.7540045934291	4526.0	0	0	1	2794	52941	260	268	1	1	1
35657	0.21543408360128619	501.06817126596053	12841.0	1	1	0	24954	50031	245	260	1	1	1
8600	0.027855153203342618	74.28722932677161	2457.0	0	0	2	0	2752	245	270	1	0	1
13041	0.0975609756097561	163.7380495082252	3022.0	0	1	0	1298	2616	278	278	1	0	1
7826	0.2553191489361702	240.4938189730011	5161.0	1	0	1	25824	53686	259	267	1	0	1
38930	0.05	133.24195273488854	2679.0	0	0	2	12327	50269	265	278	1	1	1
6148	0.23308270676691728	203.24672272101844	4117.0	0	0	2	2054	59340	0	276	1	0	1
26169	0.06535947712418301	137.97460006606445	3475.0	0	0	2	15407	25540	260	264	1	0	1
13104	0.11374407582938388	167.6208476736712	4210.0	0	0	1	2771	50508	259	260	1	0	1
14875	0.12962962962962962	196.89575286277304	3997.0	1	1	0	804	25848	244	269	1	1	1
