preferential	jaccard	adamic adar	resource allocation	is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
15189	0.047244094488188976	82.90424228507622	1753.0	0	0	1	9580	50104	104	132	1	0	1
10030	0.06282722513089005	88.72904285040953	2280.0	0	0	3	9321	50005	111	122	0	0	1
6624	0.1242603550295858	140.72852636622324	2530.0	0	0	2	9771	15888	107	111	0	1	1
7018	0.14012738853503184	148.2694907550298	2760.0	0	1	0	0	5616	118	122	1	0	1
8580	0.1787709497206704	219.0544570614346	3876.0	0	1	0	17717	50459	109	114	1	1	1
14300	0.08108108108108109	114.57490467272861	1870.0	0	1	0	0	9078	98	119	1	0	1
273	0.0	0.0	0.0	0	0	1	9321	53099	91	130	1	0	1
25376	0.10367892976588629	225.1928082461999	5173.0	0	1	0	9414	50649	122	132	1	0	1
30480	0.21122112211221122	457.18943764016456	9847.0	0	1	0	3840	16261	103	111	1	0	1
37599	0.14613180515759314	358.9819901048425	7399.0	0	0	1	9523	17454	91	109	1	1	1
16100	0.07142857142857142	123.07677207660703	2886.0	0	0	1	50268	50373	126	130	0	0	1
22260	0.06040268456375839	130.0941749376652	2896.0	0	0	1	0	50686	0	123	1	1	1
7085	0.041916167664670656	50.82523646725589	1128.0	0	1	0	9076	51624	0	107	1	0	1
8732	0.12941176470588237	149.6855660215861	2687.0	0	0	1	0	17969	98	122	1	1	1
32200	0.025714285714285714	68.47302319288963	1920.0	0	0	3	9757	51465	98	102	1	1	1
12650	0.21621621621621623	287.0482838509539	6268.0	0	1	0.0	0	0	0	0	1	0	1
1776	0.016	13.828136484194108	245.0	0	0	1	13064	50305	98	98	1	0	1
20140	0.07636363636363637	153.6199143838515	3795.0	0	0	1	0	16007	103	111	1	1	1
2773	0.10416666666666667	68.08915894672666	1248.0	0	0	2	18123	50319	107	122	0	0	1
8319	0.03225806451612903	43.469361786986674	539.0	1	0	2	9753	50241	111	116	1	0	1
13366	0.08888888888888889	150.04032145129818	3882.0	0	0	1	16810	16810	113	131	1	0	1
17280	0.102880658436214	179.22977051086332	3872.0	0	1	0	11099	50010	0	116	1	0	1
10138	0.15934065934065933	201.80686249466967	4019.0	0	0	3	9423	17584	0	91	0	0	1
496	0.11904761904761904	29.65910216642933	699.0	0	1	0	0	16261	0	0	1	0	1
7020	0.3014705882352941	280.4098838077349	5147.0	0	0	2	3714	50186	125	131	1	0	1
11900	0.47058823529411764	490.53753328339695	8959.0	0	1	0	3574	17444	91	107	0	1	1
18224	0.03669724770642202	84.3569892982491	1765.0	0	0	1	17636	50333	103	103	1	1	1
2856	0.023474178403755867	33.19482046370887	507.0	0	1	0	0	16195	112	120	1	0	1
15921	0.08433734939759036	151.19164151968909	3400.0	0	0	1	9414	50435	109	118	1	0	1
6603	0.19708029197080293	168.80713714843074	2519.0	0	0	1	25939	50294	0	108	1	0	1
8113	0.096045197740113	123.15317063227315	2697.0	0	0	1	0	50000	0	112	1	0	1
1484	0.05194805194805195	21.24335066411023	186.0	0	1	0	0	0	94	120	1	1	1
7524	0.15894039735099338	162.3843844435776	2819.0	1	1	0	50053	50197	103	108	1	0	1
495	0.03225806451612903	9.79928162152192	60.0	1	1	0	9262	50184	0	107	1	0	1
14872	0.1222707423580786	195.30148449371515	4077.0	0	1	0	17135	50181	0	107	1	0	1
18612	0.08764940239043825	157.86095489775877	3557.0	0	1	0	3716	9262	111	132	1	0	1
16264	0.1934156378600823	350.95702407033673	8790.0	0	0	0.7891501609913121	0	9755	0	122	1	0	1
7524	0.125	138.96790153817216	2656.0	0	0	3	3639	54820	103	107	0	1	1
4365	0.05185185185185185	47.1392402762178	1142.0	0	1	0	0	18001	0	0	1	0	1
22308	0.12830188679245283	231.33127961712998	4195.0	0	0	2	50090	50909	92	103	1	1	1
19266	0.132	239.6334879363459	5505.0	0	0	1	3744	54820	103	122	1	0	1
20140	0.1517509727626459	270.3754763370786	5211.0	0	1	0	50221	50410	91	111	1	0	1
1475	0.06329113924050633	31.71453717075992	427.0	0	1	0	9720	15912	0	91	1	0	1
22920	0.20077220077220076	353.868956821414	6612.0	0	1	0	9530	16233	119	119	1	0	1
2419	0.12359550561797752	77.48470743761712	1691.0	0	1	0	0	9720	91	119	0	1	1
17850	0.0299625468164794	59.40207628191614	1402.0	0	0	1.210849839008688	0	53608	0	107	1	0	1
3634	0.08383233532934131	92.72613822438359	1529.0	0	1	0	9773	50435	108	108	0	1	1
44720	0.13404825737265416	352.77247688057173	7523.0	0	1	0	0	17584	0	92	1	1	1
7290	0.1875	194.3917403583826	4538.0	1	1	0	25370	50507	114	126	1	1	1
41472	0.06956521739130435	232.16091478073605	5268.0	0	0	1.210849839008688	1617	4405	0	108	1	0	1
25482	0.22348484848484848	430.83922137141093	9956.0	0	0	3	3243	52927	90	99	0	1	1
6600	0.17575757575757575	177.54227278740203	2821.0	0	1	0	51723	60615	107	111	1	1	1
25400	0.06862745098039216	155.68860075445812	3782.0	0	1	0	0	50699	0	113	1	0	1
11430	0.09045226130653267	131.49446619990675	2922.0	0	1	0	0	3716	0	131	1	1	1
1560	0.00847457627118644	5.0	32.0	0	0	1	9588	18289	0	98	1	1	1
28305	0.05956112852664577	138.02713873919674	3142.0	0	0	1	7032	9787	109	118	1	1	1
25186	0.19932432432432431	418.49949489593394	9107.0	0	1	0	16805	50738	107	111	1	1	1
7128	0.11956521739130435	153.45993279088367	3021.0	0	0	3	17548	51113	111	112	0	1	1
3724	0.09649122807017543	64.1156499997308	693.0	0	1	0	1496	51268	108	128	1	0	1
7482	0.0625	67.67120327972562	818.0	0	1	0	4702	16438	104	122	1	1	1
13589	0.13592233009708737	202.48414001024116	4477.0	0	0	1	15903	16490	0	98	1	1	1
22594	0.027303754266211604	60.90443261557054	1726.0	0	0	1	50435	52499	108	116	0	0	1
16800	0.07723577235772358	134.92228612333108	2933.0	0	1	0	9772	53392	122	131	0	0	1
3444	0.06837606837606838	53.15049482003731	989.0	0	1	0	9640	18213	112	131	1	1	1
18290	0.10526315789473684	185.17953611593825	4110.0	0	0	1	17584	50258	92	111	1	1	1
4104	0.08148148148148149	74.9297571956276	1445.0	1	1	0	19357	50186	0	121	1	1	1
36036	0.11206896551724138	284.9719852555209	6686.0	0	1	0	3683	17568	107	112	1	1	1
37401	0.04591836734693878	131.42658951384192	3087.0	0	0	1	9617	26575	91	121	1	0	1
16781	0.12033195020746888	207.96051666712287	4471.0	0	1	0	9321	50410	95	110	1	1	1
4123	0.06493506493506493	67.27662810234688	1488.0	1	1	0	16440	50221	114	120	1	1	1
18354	0.24311926605504589	381.33029472471384	8348.0	0	0	2	50010	50053	111	111	0	1	1
4704	0.2184873949579832	175.244520510836	3048.0	0	0	1	3658	3716	91	102	0	0	1
9266	0.08536585365853659	141.94806381887088	2442.0	0	0	1	3739	9466	122	133	1	0	1
32000	0.18691588785046728	444.4972256817957	10881.0	1	1	0	3622	50152	94	114	1	1	1
6696	0.03488372093023256	42.03208349300968	854.0	0	1	0	9530	16496	102	107	1	1	1
11978	0.08415841584158416	121.24284931315925	2530.0	0	0	1	50143	50686	0	133	1	1	1
15300	0.11013215859030837	173.39740018390134	3441.0	0	1	0	2505	9388	95	102	1	1	1
8190	0.11046511627906977	131.0771584319024	2457.0	0	0	1	17789	50137	111	118	0	0	1
15620	0.058823529411764705	100.05326389811161	2251.0	0	0	1.210849839008688	17009	50065	91	114	1	0	1
8120	0.020618556701030927	28.169304354556107	552.0	0	1	0	9318	9441	91	98	1	1	1
8976	0.1242603550295858	147.97306771169144	3065.0	0	0	2	22237	51521	109	122	1	1	1
24750	0.08996539792387544	179.11739371932583	3625.0	0	0	1	16245	17908	94	109	0	0	1
6832	0.06134969325153374	73.56223338547025	1721.0	0	1	0	0	17636	0	122	1	0	1
14130	0.1875	262.45638269091484	4838.0	0	0	1	50010	50317	94	111	1	1	1
34496	0.12386706948640483	291.4700969220658	6143.0	0	0	1	50070	50985	91	94	1	0	1
3127	0.12	79.1078082196693	1357.0	0	1	0	17908	50319	0	107	1	0	1
79872	0.13193116634799235	501.8938689958514	11561.0	0	0	0.21084983900868792	1617	50229	108	126	1	0	1
20010	0.13333333333333333	235.09747963060408	4557.0	0	0	2	25012	50398	111	131	0	0	1
6278	0.2230769230769231	198.38295516875044	3852.0	0	0	0.21084983900868792	0	1941	0	122	1	0	1
6360	0.031055900621118012	35.98372662863974	780.0	0	1	0	17537	50435	0	109	1	1	1
2565	0.019867549668874173	21.864839040856502	498.0	0	0	1	0	3172	107	114	1	1	1
33616	0.06686046511627906	163.50059710195305	3443.0	0	0	1	9530	50070	91	119	1	0	1
7620	0.147239263803681	152.01271666508572	2447.0	1	1	0	5251	25353	0	99	1	0	1
12835	0.09767441860465116	148.24368839339274	3186.0	0	0	1	9523	9829	91	107	1	1	1
16000	0.13452914798206278	229.1267912934188	6218.0	0	0	1.210849839008688	16866	50152	92	94	1	0	1
59770	0.05793991416309013	201.64253991088415	5060.0	0	0	1	15903	51880	107	111	0	1	1
8892	0.06077348066298342	69.45021682003228	983.0	0	0	2	15897	17396	95	102	0	0	1
17385	0.23008849557522124	367.71860895256265	7477.0	0	1	0	50168	50498	107	108	1	1	1
