is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
0.0	1.0	0.0	1738.0	2786.0	314.0	324.0	1.0	1.0	1.0
0.0	1.0	0.0	9678.0	16530.0	0.0	0.0	1.0	0.0	0.0
0.0	0.0	3.0	16860.0	51535.0	111.0	122.0	0.0	1.0	0.0
0.0	0.0	1.0	9618.0	50258.0	20.0	39.0	1.0	1.0	0.0
0.0	0.0	1.0	26849.0	50074.0	0.0	17.0	1.0	1.0	1.0
0.0	0.0	2.0	25819.0	50864.0	235.0	249.0	0.0	0.0	0.0
0.0	0.0	1.0	15943.0	51624.0	0.0	31.0	1.0	0.0	0.0
0.0	1.0	0.0	17129.0	50000.0	251.0	264.0	1.0	1.0	1.0
0.0	1.0	0.0	0.0	20823.0	249.0	267.0	1.0	0.0	1.0
0.0	0.0	2.0	0.0	18230.0	277.0	283.0	1.0	0.0	1.0
0.0	1.0	0.0	4585.0	50011.0	1.0	28.0	0.0	0.0	1.0
0.0	1.0	0.0	25819.0	25848.0	245.0	255.0	1.0	0.0	1.0
0.0	0.0	3.0	0.0	58261.0	0.0	107.0	1.0	0.0	0.0
0.0	0.0	6.0	9745.0	9745.0	0.0	249.0	0.0	0.0	0.0
0.0	0.0	1.0	3638.0	50509.0	268.0	281.0	0.0	0.0	1.0
0.0	1.0	0.0	1731.0	3120.0	245.0	245.0	1.0	1.0	1.0
0.0	0.0	0.8522256990006554	0.0	50104.0	0.0	266.0	1.0	0.0	1.0
0.0	0.0	2.0	9388.0	25012.0	0.0	0.0	1.0	0.0	0.0
0.0	0.0	0.8522256990006554	0.0	8823.0	0.0	242.0	0.0	1.0	1.0
0.0	1.0	0.0	0.0	8992.0	21.0	28.0	1.0	1.0	1.0
0.0	1.0	0.0	17713.0	50010.0	0.0	22.0	1.0	1.0	1.0
0.0	1.0	0.0	9598.0	17486.0	236.0	284.0	1.0	0.0	1.0
0.0	1.0	0.0	0.0	20838.0	118.0	119.0	1.0	1.0	1.0
0.0	1.0	0.0	2374.0	20603.0	249.0	260.0	1.0	0.0	1.0
0.0	0.0	3.0	3171.0	53663.0	264.0	266.0	0.0	1.0	0.0
0.0	0.0	1.0	2349.0	4004.0	312.0	314.0	1.0	0.0	0.0
0.0	1.0	0.0	15897.0	17908.0	102.0	131.0	0.0	0.0	0.0
0.0	1.0	0.0	0.0	51161.0	107.0	131.0	1.0	0.0	1.0
0.0	0.0	1.0	1526.0	2355.0	238.0	243.0	1.0	1.0	1.0
0.0	1.0	0.0	5932.0	15527.0	261.0	268.0	1.0	1.0	1.0
0.0	1.0	0.0	21653.0	22201.0	251.0	278.0	1.0	0.0	1.0
0.0	0.0	4.0	3681.0	54923.0	0.0	31.0	1.0	0.0	0.0
0.0	1.0	0.0	9678.0	50314.0	107.0	108.0	1.0	0.0	1.0
0.0	0.0	1.210849839008688	17009.0	50065.0	91.0	114.0	1.0	0.0	1.0
0.0	0.0	1.0	0.0	5771.0	97.0	119.0	1.0	0.0	1.0
0.0	1.0	0.0	1933.0	2248.0	239.0	244.0	1.0	1.0	0.0
0.0	0.0	2.0	1933.0	2422.0	239.0	267.0	1.0	1.0	1.0
0.0	0.0	1.0	0.0	50305.0	0.0	98.0	1.0	1.0	0.0
0.0	0.0	3.0	12396.0	50215.0	253.0	316.0	0.0	1.0	1.0
